Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
KEGG Pathway,24,hsa00830,Retinol metabolism,,-7.1,6.6,7.9,27994,67,829,13,1.6,0.43,124|125|126|127|1555|7364|7365|7366|7367|10720|10901|54490|284541,ADH1A|ADH1B|ADH1C|ADH4|CYP2B6|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|DHRS4|UGT2B28|CYP4A22,-3.8,10 uM
KEGG Pathway,24,ko00830,Retinol metabolism,,-6.4,6.2,7.4,27994,65,829,12,1.4,0.41,124|125|126|127|1555|7364|7365|7366|7367|10720|10901|54490,ADH1A|ADH1B|ADH1C|ADH4|CYP2B6|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|DHRS4|UGT2B28,-3.1,10 uM
GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,19_GO:0008152 metabolic process,-5.8,2.2,5.4,27994,664,829,43,5.2,0.77,124|125|126|127|633|1555|1581|1737|2938|2946|3032|3479|3945|5205|5207|5232|5444|5629|6566|7364|7366|7367|8647|8942|10249|10464|10720|27329|51302|54490|54529|55862|56898|63827|79023|79071|92126|142827|144193|283927|284541|285440|387712,ADH1A|ADH1B|ADH1C|ADH4|BGN|CYP2B6|CYP7A1|DLAT|GSTA1|GSTM2|HADHB|IGF1|LDHB|ATP8B1|PFKFB1|PGK2|PON1|PROX1|SLC16A1|UGT2B7|UGT2B15|UGT2B17|ABCB11|KYNU|GLYAT|PIBF1|UGT2B11|ANGPTL3|CYP39A1|UGT2B28|ASNSD1|ECHDC1|BDH2|BCAN|NUP37|ELOVL6|DSEL|ACSM6|AMDHD1|NUDT7|CYP4A22|CYP4V2|ENO4,-2.6,10 uM
Reactome Gene Sets,6,R-HSA-156580,Phase II - Conjugation of compounds,,-5.4,4.3,6.1,27994,109,829,14,1.7,0.45,2938|2939|2946|2947|7360|7364|7365|7366|7367|9061|10249|10720|54490|92292,GSTA1|GSTA2|GSTM2|GSTM3|UGP2|UGT2B7|UGT2B10|UGT2B15|UGT2B17|PAPSS1|GLYAT|UGT2B11|UGT2B28|GLYATL1,-2.3,10 uM
Reactome Gene Sets,6,R-HSA-156588,Glucuronidation,,-5.2,9.5,7.4,27994,25,829,7,0.84,0.32,7360|7364|7365|7366|7367|10720|54490,UGP2|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-2.3,10 uM
GO Biological Processes,19,GO:0008202,steroid metabolic process,19_GO:0008152 metabolic process,-5.1,2.6,5.3,27994,332,829,26,3.1,0.61,1081|1555|1581|2330|3157|3158|3422|3490|4504|5205|5444|5629|6309|7364|7366|7367|8647|10720|10901|11218|23541|27329|51302|54490|79071|285440,CGA|CYP2B6|CYP7A1|FMO5|HMGCS1|HMGCS2|IDI1|IGFBP7|MT3|ATP8B1|PON1|PROX1|SC5D|UGT2B7|UGT2B15|UGT2B17|ABCB11|UGT2B11|DHRS4|DDX20|SEC14L2|ANGPTL3|CYP39A1|UGT2B28|ELOVL6|CYP4V2,-2.2,10 uM
Reactome Gene Sets,6,R-HSA-68884,Mitotic Telophase/Cytokinesis,,-4.6,13,7.6,27994,13,829,5,0.6,0.27,9126|9493|10274|10735|23047,SMC3|KIF23|STAG1|STAG2|PDS5B,-1.8,10 uM
GO Biological Processes,19,GO:0071539,protein localization to centrosome,19_GO:0051179 localization,-4.6,7.6,6.4,27994,31,829,7,0.84,0.32,2804|6790|10464|29887|51134|84376|137886,GOLGB1|AURKA|PIBF1|SNX10|CEP83|HOOK3|UBXN2B,-1.8,10 uM
GO Biological Processes,19,GO:0046854,phosphatidylinositol phosphorylation,19_GO:0008152 metabolic process,-4.4,5.3,5.7,27994,57,829,9,1.1,0.36,5286|5290|5295|5305|9306|9655|23049|122809|285172,PIK3C2A|PIK3CA|PIK3R1|PIP4K2A|SOCS6|SOCS5|SMG1|SOCS4|FAM126B,-1.7,10 uM
GO Biological Processes,19,GO:1905508,protein localization to microtubule organizing center,19_GO:0051179 localization,-4.4,7.2,6.2,27994,33,829,7,0.84,0.32,2804|6790|10464|29887|51134|84376|137886,GOLGB1|AURKA|PIBF1|SNX10|CEP83|HOOK3|UBXN2B,-1.7,10 uM
KEGG Pathway,24,ko00040,Pentose and glucuronate interconversions,,-4.3,7,6.1,27994,34,829,7,0.84,0.32,7360|7364|7365|7366|7367|10720|54490,UGP2|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.7,10 uM
KEGG Pathway,24,hsa00040,Pentose and glucuronate interconversions,,-4.2,6.8,5.9,27994,35,829,7,0.84,0.32,7360|7364|7365|7366|7367|10720|54490,UGP2|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.6,10 uM
KEGG Pathway,24,ko00053,Ascorbate and aldarate metabolism,,-3.9,7.5,5.9,27994,27,829,6,0.72,0.29,7364|7365|7366|7367|10720|54490,UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.5,10 uM
KEGG Pathway,24,M00014,Glucuronate pathway (uronate pathway),,-3.9,7.5,5.9,27994,27,829,6,0.72,0.29,7364|7365|7366|7367|10720|54490,UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.5,10 uM
KEGG Pathway,24,hsa_M00014,Glucuronate pathway (uronate pathway),,-3.9,7.5,5.9,27994,27,829,6,0.72,0.29,7364|7365|7366|7367|10720|54490,UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.5,10 uM
KEGG Pathway,24,hsa00053,Ascorbate and aldarate metabolism,,-3.9,7.5,5.9,27994,27,829,6,0.72,0.29,7364|7365|7366|7367|10720|54490,UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.5,10 uM
Reactome Gene Sets,6,R-HSA-2470946,Cohesin Loading onto Chromatin,,-3.9,14,6.9,27994,10,829,4,0.48,0.24,9126|10274|10735|23047,SMC3|STAG1|STAG2|PDS5B,-1.5,10 uM
GO Biological Processes,19,GO:0052695,cellular glucuronidation,19_GO:0008152 metabolic process,-3.9,9.4,6.2,27994,18,829,5,0.6,0.27,7364|7366|7367|10720|54490,UGT2B7|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.5,10 uM
GO Biological Processes,19,GO:0072698,protein localization to microtubule cytoskeleton,19_GO:0051179 localization,-3.8,5.1,5.2,27994,53,829,8,0.97,0.34,2804|3192|6790|10464|29887|51134|84376|137886,GOLGB1|HNRNPU|AURKA|PIBF1|SNX10|CEP83|HOOK3|UBXN2B,-1.4,10 uM
Reactome Gene Sets,6,R-HSA-442742,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,,-3.8,7,5.6,27994,29,829,6,0.72,0.29,817|1739|1742|2906|3845|6197,CAMK2D|DLG1|DLG4|GRIN2D|KRAS|RPS6KA3,-1.4,10 uM
GO Biological Processes,19,GO:0015721,bile acid and bile salt transport,19_GO:0051179 localization,-3.8,7,5.6,27994,29,829,6,0.72,0.29,5205|8647|11309|28234|123264|347051,ATP8B1|ABCB11|SLCO2B1|SLCO1B3|SLC51B|SLC10A5,-1.4,10 uM
KEGG Pathway,24,hsa00010,Glycolysis / Gluconeogenesis,,-3.7,4,4.8,27994,84,829,10,1.2,0.38,124|125|126|127|221|1737|3945|5232|84376|387712,ADH1A|ADH1B|ADH1C|ADH4|ALDH3B1|DLAT|LDHB|PGK2|HOOK3|ENO4,-1.4,10 uM
Reactome Gene Sets,6,R-HSA-2468052,Establishment of Sister Chromatid Cohesion,,-3.7,12,6.5,27994,11,829,4,0.48,0.24,9126|10274|10735|23047,SMC3|STAG1|STAG2|PDS5B,-1.4,10 uM
Reactome Gene Sets,6,R-HSA-1169092,Activation of RAS in B cells,,-3.6,20,7.5,27994,5,829,3,0.36,0.21,3845|10125|25780,KRAS|RASGRP1|RASGRP3,-1.3,10 uM
Reactome Gene Sets,6,R-HSA-399721,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",,-3.6,6.5,5.4,27994,31,829,6,0.72,0.29,163|817|1739|1742|9495|23426,AP2B1|CAMK2D|DLG1|DLG4|AKAP5|GRIP1,-1.3,10 uM
Reactome Gene Sets,6,R-HSA-399719,Trafficking of AMPA receptors,,-3.6,6.5,5.4,27994,31,829,6,0.72,0.29,163|817|1739|1742|9495|23426,AP2B1|CAMK2D|DLG1|DLG4|AKAP5|GRIP1,-1.3,10 uM
GO Biological Processes,19,GO:0044380,protein localization to cytoskeleton,19_GO:0051179 localization,-3.6,4.7,4.9,27994,57,829,8,0.97,0.34,2804|3192|6790|10464|29887|51134|84376|137886,GOLGB1|HNRNPU|AURKA|PIBF1|SNX10|CEP83|HOOK3|UBXN2B,-1.3,10 uM
GO Biological Processes,19,GO:0046834,lipid phosphorylation,19_GO:0008152 metabolic process,-3.6,4.2,4.8,27994,72,829,9,1.1,0.36,5286|5290|5295|5305|9306|9655|23049|122809|285172,PIK3C2A|PIK3CA|PIK3R1|PIP4K2A|SOCS6|SOCS5|SMG1|SOCS4|FAM126B,-1.3,10 uM
GO Biological Processes,19,GO:0009101,glycoprotein biosynthetic process,19_GO:0008152 metabolic process,-3.6,2.3,4.1,27994,345,829,23,2.8,0.57,633|659|2673|3479|4504|5238|7991|9321|10724|10905|11320|29880|56913|63827|79690|79868|83539|92126|123264|145173|168391|286148|406893,BGN|BMPR2|GFPT1|IGF1|MT3|PGM3|TUSC3|TRIP11|OGA|MAN1A2|MGAT4A|ALG5|C1GALT1|BCAN|GAL3ST4|ALG13|CHST9|DSEL|SLC51B|B3GLCT|GALNTL5|DPY19L4|MIR101-1,-1.3,10 uM
Reactome Gene Sets,6,R-HSA-442982,Ras activation upon Ca2+ influx through NMDA receptor,,-3.5,8,5.6,27994,21,829,5,0.6,0.27,817|1739|1742|2906|3845,CAMK2D|DLG1|DLG4|GRIN2D|KRAS,-1.3,10 uM
Reactome Gene Sets,6,R-HSA-211945,Phase I - Functionalization of compounds,,-3.5,3.5,4.5,27994,106,829,11,1.3,0.4,124|125|126|127|1555|1580|1581|51302|196743|284541|285440,ADH1A|ADH1B|ADH1C|ADH4|CYP2B6|CYP4B1|CYP7A1|CYP39A1|PAOX|CYP4A22|CYP4V2,-1.3,10 uM
GO Biological Processes,19,GO:0006069,ethanol oxidation,19_GO:0008152 metabolic process,-3.5,11,6.2,27994,12,829,4,0.48,0.24,124|125|126|127,ADH1A|ADH1B|ADH1C|ADH4,-1.3,10 uM
Reactome Gene Sets,6,R-HSA-71384,Ethanol oxidation,,-3.5,11,6.2,27994,12,829,4,0.48,0.24,124|125|126|127,ADH1A|ADH1B|ADH1C|ADH4,-1.3,10 uM
KEGG Pathway,24,hsa04917,Prolactin signaling pathway,,-3.4,4.1,4.6,27994,75,829,9,1.1,0.36,1081|3845|5290|5295|6514|9306|9318|9655|122809,CGA|KRAS|PIK3CA|PIK3R1|SLC2A2|SOCS6|COPS2|SOCS5|SOCS4,-1.3,10 uM
GO Biological Processes,19,GO:0006805,xenobiotic metabolic process,19_GO:0050896 response to stimulus,-3.4,3.2,4.4,27994,126,829,12,1.4,0.41,590|1429|1555|2690|2938|2939|2946|2947|7366|10249|10720|54490,BCHE|CRYZ|CYP2B6|GHR|GSTA1|GSTA2|GSTM2|GSTM3|UGT2B15|GLYAT|UGT2B11|UGT2B28,-1.3,10 uM
Reactome Gene Sets,6,R-HSA-2500257,Resolution of Sister Chromatid Cohesion,,-3.4,3.2,4.4,27994,126,829,12,1.4,0.41,2491|5525|9126|10274|10735|23047|23122|23421|79023|81930|112714|348235,CENPI|PPP2R5A|SMC3|STAG1|STAG2|PDS5B|CLASP2|ITGB3BP|NUP37|KIF18A|TUBA3E|SKA2,-1.3,10 uM
GO Biological Processes,19,GO:0006067,ethanol metabolic process,19_GO:0008152 metabolic process,-3.4,7.7,5.5,27994,22,829,5,0.6,0.27,124|125|126|127|221,ADH1A|ADH1B|ADH1C|ADH4|ALDH3B1,-1.3,10 uM
Reactome Gene Sets,6,R-HSA-68877,Mitotic Prometaphase,,-3.4,2.6,4.1,27994,204,829,16,1.9,0.48,2491|3320|5525|9126|10274|10735|11116|23047|23122|23421|55755|79023|81930|84131|112714|348235,CENPI|HSP90AA1|PPP2R5A|SMC3|STAG1|STAG2|CEP43|PDS5B|CLASP2|ITGB3BP|CDK5RAP2|NUP37|KIF18A|CEP78|TUBA3E|SKA2,-1.2,10 uM
KEGG Pathway,24,hsa00140,Steroid hormone biosynthesis,,-3.4,4.4,4.7,27994,61,829,8,0.97,0.34,1581|7364|7365|7366|7367|10720|54490|158160,CYP7A1|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28|HSD17B7P2,-1.2,10 uM
Reactome Gene Sets,6,R-HSA-3108214,SUMOylation of DNA damage response and repair proteins,,-3.3,3.9,4.5,27994,77,829,9,1.1,0.36,1911|9063|9126|10274|10735|23137|54780|79023|79677,PHC1|PIAS2|SMC3|STAG1|STAG2|SMC5|NSMCE4A|NUP37|SMC6,-1.2,10 uM
GO Biological Processes,19,GO:0019585,glucuronate metabolic process,19_GO:0008152 metabolic process,-3.3,7.3,5.3,27994,23,829,5,0.6,0.27,7364|7366|7367|10720|54490,UGT2B7|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.2,10 uM
GO Biological Processes,19,GO:0006063,uronic acid metabolic process,19_GO:0008152 metabolic process,-3.3,7.3,5.3,27994,23,829,5,0.6,0.27,7364|7366|7367|10720|54490,UGT2B7|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.2,10 uM
Canonical Pathways,11,M141,PID PI3KCI PATHWAY,,-3.3,4.9,4.8,27994,48,829,7,0.84,0.32,3320|3845|5290|5295|5728|7535|29760,HSP90AA1|KRAS|PIK3CA|PIK3R1|PTEN|ZAP70|BLNK,-1.2,10 uM
GO Biological Processes,19,GO:0019218,regulation of steroid metabolic process,19_GO:0050789 regulation of biological process,-3.3,3.1,4.2,27994,131,829,12,1.4,0.41,1081|1581|2330|3157|3422|3490|5629|6309|8647|11218|23541|79071,CGA|CYP7A1|FMO5|HMGCS1|IDI1|IGFBP7|PROX1|SC5D|ABCB11|DDX20|SEC14L2|ELOVL6,-1.2,10 uM
GO Biological Processes,19,GO:0019216,regulation of lipid metabolic process,19_GO:0050789 regulation of biological process,-3.3,2,3.8,27994,431,829,26,3.1,0.61,123|1081|1581|2330|3157|3158|3357|3422|3490|5295|5525|5629|6309|8647|9306|9655|10464|11218|23541|25942|27063|27329|79071|80205|122809|345275,PLIN2|CGA|CYP7A1|FMO5|HMGCS1|HMGCS2|HTR2B|IDI1|IGFBP7|PIK3R1|PPP2R5A|PROX1|SC5D|ABCB11|SOCS6|SOCS5|PIBF1|DDX20|SEC14L2|SIN3A|ANKRD1|ANGPTL3|ELOVL6|CHD9|SOCS4|HSD17B13,-1.2,10 uM
GO Biological Processes,19,GO:0042537,benzene-containing compound metabolic process,19_GO:0008152 metabolic process,-3.2,7,5.2,27994,24,829,5,0.6,0.27,1580|2946|2947|6999|8942,CYP4B1|GSTM2|GSTM3|TDO2|KYNU,-1.2,10 uM
GO Biological Processes,19,GO:0050810,regulation of steroid biosynthetic process,19_GO:0050789 regulation of biological process,-3.1,3.4,4.2,27994,99,829,10,1.2,0.38,1081|1581|3157|3422|3490|5629|6309|11218|23541|79071,CGA|CYP7A1|HMGCS1|IDI1|IGFBP7|PROX1|SC5D|DDX20|SEC14L2|ELOVL6,-1.1,10 uM
Reactome Gene Sets,6,R-HSA-556833,Metabolism of lipids,,-3.1,1.7,3.5,27994,739,829,38,4.6,0.73,123|221|590|1081|1119|1580|1581|3032|3157|3158|3422|3631|5286|5290|5295|5305|5444|5728|6309|8647|9412|25942|27063|28234|51302|55331|56898|57110|64850|79071|80205|80736|114882|142827|259230|283927|284541|345275,PLIN2|ALDH3B1|BCHE|CGA|CHKA|CYP4B1|CYP7A1|HADHB|HMGCS1|HMGCS2|IDI1|INPP4A|PIK3C2A|PIK3CA|PIK3R1|PIP4K2A|PON1|PTEN|SC5D|ABCB11|MED21|SIN3A|ANKRD1|SLCO1B3|CYP39A1|ACER3|BDH2|PLAAT1|ETNPPL|ELOVL6|CHD9|SLC44A4|OSBPL8|ACSM6|SGMS1|NUDT7|CYP4A22|HSD17B13,-1.1,10 uM
KEGG Pathway,24,ko00010,Glycolysis / Gluconeogenesis,,-3.1,4,4.3,27994,67,829,8,0.97,0.34,124|125|126|127|221|1737|3945|5232,ADH1A|ADH1B|ADH1C|ADH4|ALDH3B1|DLAT|LDHB|PGK2,-1.1,10 uM
Reactome Gene Sets,6,R-HSA-5637810,Constitutive Signaling by EGFRvIII,,-3.1,9,5.4,27994,15,829,4,0.48,0.24,3320|3845|5290|5295,HSP90AA1|KRAS|PIK3CA|PIK3R1,-1.1,10 uM
Reactome Gene Sets,6,R-HSA-5637812,Signaling by EGFRvIII in Cancer,,-3.1,9,5.4,27994,15,829,4,0.48,0.24,3320|3845|5290|5295,HSP90AA1|KRAS|PIK3CA|PIK3R1,-1.1,10 uM
GO Biological Processes,19,GO:0006084,acetyl-CoA metabolic process,19_GO:0008152 metabolic process,-3.1,5.3,4.7,27994,38,829,6,0.72,0.29,1737|3157|3158|6999|8942|283927,DLAT|HMGCS1|HMGCS2|TDO2|KYNU|NUDT7,-1.1,10 uM
GO Biological Processes,19,GO:0006066,alcohol metabolic process,19_GO:0008152 metabolic process,-3,2,3.6,27994,379,829,23,2.8,0.57,124|125|126|127|221|1119|1581|2330|3157|3158|3422|3479|3631|4504|5444|5728|6309|10901|23541|27329|51302|55331|79071,ADH1A|ADH1B|ADH1C|ADH4|ALDH3B1|CHKA|CYP7A1|FMO5|HMGCS1|HMGCS2|IDI1|IGF1|INPP4A|MT3|PON1|PTEN|SC5D|DHRS4|SEC14L2|ANGPTL3|CYP39A1|ACER3|ELOVL6,-1.1,10 uM
CORUM,33,CORUM:282,SNF2h-cohesin-NuRD complex,,-3,8.4,5.2,27994,16,829,4,0.48,0.24,8467|9126|10274|10735,SMARCA5|SMC3|STAG1|STAG2,-1.1,10 uM
Reactome Gene Sets,6,R-HSA-9665348,Signaling by ERBB2 ECD mutants,,-3,8.4,5.2,27994,16,829,4,0.48,0.24,3320|3845|5290|5295,HSP90AA1|KRAS|PIK3CA|PIK3R1,-1.1,10 uM
KEGG Pathway,24,ko04917,Prolactin signaling pathway,,-3,3.9,4.2,27994,70,829,8,0.97,0.34,1081|3845|5290|5295|6514|9306|9655|122809,CGA|KRAS|PIK3CA|PIK3R1|SLC2A2|SOCS6|SOCS5|SOCS4,-1.1,10 uM
Reactome Gene Sets,6,R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,,-3,2.6,3.8,27994,182,829,14,1.7,0.45,1911|4869|6304|6790|9063|9126|9994|10274|10735|23137|25942|54780|79023|79677,PHC1|NPM1|SATB1|AURKA|PIAS2|SMC3|CASP8AP2|STAG1|STAG2|SMC5|SIN3A|NSMCE4A|NUP37|SMC6,-1.1,10 uM
GO Biological Processes,19,GO:0006644,phospholipid metabolic process,19_GO:0008152 metabolic process,-2.9,1.9,3.5,27994,456,829,26,3.1,0.61,1119|3032|3157|3158|3357|3422|3631|5286|5290|5295|5305|5444|5728|9306|9655|10026|23049|23556|27329|57110|64850|80736|114882|122809|259230|285172,CHKA|HADHB|HMGCS1|HMGCS2|HTR2B|IDI1|INPP4A|PIK3C2A|PIK3CA|PIK3R1|PIP4K2A|PON1|PTEN|SOCS6|SOCS5|PIGK|SMG1|PIGN|ANGPTL3|PLAAT1|ETNPPL|SLC44A4|OSBPL8|SOCS4|SGMS1|FAM126B,-1,10 uM
GO Biological Processes,19,GO:0009074,aromatic amino acid family catabolic process,19_GO:0008152 metabolic process,-2.9,6,4.7,27994,28,829,5,0.6,0.27,3176|5053|6999|8942|144193,HNMT|PAH|TDO2|KYNU|AMDHD1,-1,10 uM
GO Biological Processes,19,GO:0050732,negative regulation of peptidyl-tyrosine phosphorylation,19_GO:0048519 negative regulation of biological process,-2.9,4.2,4.2,27994,56,829,7,0.84,0.32,5771|6690|9655|10464|11116|25998|122809,PTPN2|SPINK1|SOCS5|PIBF1|CEP43|IBTK|SOCS4,-1,10 uM
GO Biological Processes,19,GO:0046488,phosphatidylinositol metabolic process,19_GO:0008152 metabolic process,-2.9,2.6,3.7,27994,185,829,14,1.7,0.45,3357|3631|5286|5290|5295|5305|5728|9306|9655|10026|23049|23556|122809|285172,HTR2B|INPP4A|PIK3C2A|PIK3CA|PIK3R1|PIP4K2A|PTEN|SOCS6|SOCS5|PIGK|SMG1|PIGN|SOCS4|FAM126B,-1,10 uM
GO Biological Processes,19,GO:0032071,regulation of endodeoxyribonuclease activity,19_GO:0050789 regulation of biological process,-2.9,13,5.8,27994,8,829,3,0.36,0.21,1663|3146|4869,DDX11|HMGB1|NPM1,-1,10 uM
GO Biological Processes,19,GO:0150012,positive regulation of neuron projection arborization,19_GO:0048518 positive regulation of biological process,-2.9,13,5.8,27994,8,829,3,0.36,0.21,1742|9175|23426,DLG4|MAP3K13|GRIP1,-1,10 uM
CORUM,33,CORUM:5268,TNF-alpha/NF-kappa B signaling complex 7,,-2.9,13,5.8,27994,8,829,3,0.36,0.21,2289|3320|257397,FKBP5|HSP90AA1|TAB3,-1,10 uM
GO Biological Processes,19,GO:1901615,organic hydroxy compound metabolic process,19_GO:0008152 metabolic process,-2.9,1.8,3.4,27994,556,829,30,3.6,0.65,124|125|126|127|221|1081|1119|1581|2330|3157|3158|3422|3479|3631|4504|5053|5205|5444|5629|5728|6309|7274|8647|10901|23541|27329|51302|55331|79071|285440,ADH1A|ADH1B|ADH1C|ADH4|ALDH3B1|CGA|CHKA|CYP7A1|FMO5|HMGCS1|HMGCS2|IDI1|IGF1|INPP4A|MT3|PAH|ATP8B1|PON1|PROX1|PTEN|SC5D|TTPA|ABCB11|DHRS4|SEC14L2|ANGPTL3|CYP39A1|ACER3|ELOVL6|CYP4V2,-1,10 uM
KEGG Pathway,24,ko00860,Porphyrin and chlorophyll metabolism,,-2.9,4.8,4.3,27994,42,829,6,0.72,0.29,7364|7365|7366|7367|10720|54490,UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1,10 uM
GO Biological Processes,19,GO:0005996,monosaccharide metabolic process,19_GO:0008152 metabolic process,-2.8,2.2,3.5,27994,296,829,19,2.3,0.52,1737|3175|3479|4123|5207|5232|5290|5771|7364|7366|7367|8850|9852|10720|25948|54490|79660|84912|145173,DLAT|ONECUT1|IGF1|MAN2C1|PFKFB1|PGK2|PIK3CA|PTPN2|UGT2B7|UGT2B15|UGT2B17|KAT2B|EPM2AIP1|UGT2B11|KBTBD2|UGT2B28|PPP1R3B|SLC35B4|B3GLCT,-1,10 uM
GO Biological Processes,19,GO:0051272,positive regulation of cellular component movement,19_GO:0048518 positive regulation of biological process,-2.8,1.8,3.4,27994,611,829,32,3.9,0.67,659|1081|1672|1793|3146|3175|3479|3690|3912|5286|5295|5629|5962|6863|9475|9510|9590|10371|11116|23075|23122|23224|27329|57214|57381|65125|85360|118426|378938|406893|653464|664616,BMPR2|CGA|DEFB1|DOCK1|HMGB1|ONECUT1|IGF1|ITGB3|LAMB1|PIK3C2A|PIK3R1|PROX1|RDX|TAC1|ROCK2|ADAMTS1|AKAP12|SEMA3A|CEP43|SWAP70|CLASP2|SYNE2|ANGPTL3|CEMIP|RHOJ|WNK1|SYDE1|BORCS5|MALAT1|MIR101-1|SRGAP2C|MIR487B,-1,10 uM
GO Biological Processes,19,GO:0061099,negative regulation of protein tyrosine kinase activity,19_GO:0048519 negative regulation of biological process,-2.8,5.8,4.5,27994,29,829,5,0.6,0.27,5771|9655|11116|25998|122809,PTPN2|SOCS5|CEP43|IBTK|SOCS4,-1,10 uM
GO Biological Processes,19,GO:0006650,glycerophospholipid metabolic process,19_GO:0008152 metabolic process,-2.8,2.1,3.5,27994,343,829,21,2.5,0.55,1119|3032|3357|3631|5286|5290|5295|5305|5444|5728|9306|9655|10026|23049|23556|57110|64850|80736|114882|122809|285172,CHKA|HADHB|HTR2B|INPP4A|PIK3C2A|PIK3CA|PIK3R1|PIP4K2A|PON1|PTEN|SOCS6|SOCS5|PIGK|SMG1|PIGN|PLAAT1|ETNPPL|SLC44A4|OSBPL8|SOCS4|FAM126B,-1,10 uM
Reactome Gene Sets,6,R-HSA-2990846,SUMOylation,,-2.8,2.5,3.6,27994,188,829,14,1.7,0.45,1911|4869|6304|6790|9063|9126|9994|10274|10735|23137|25942|54780|79023|79677,PHC1|NPM1|SATB1|AURKA|PIAS2|SMC3|CASP8AP2|STAG1|STAG2|SMC5|SIN3A|NSMCE4A|NUP37|SMC6,-1,10 uM
Canonical Pathways,11,M160,PID AVB3 INTEGRIN PATHWAY,,-2.8,3.7,4,27994,74,829,8,0.97,0.34,1291|3320|3690|5286|5290|5295|7373|27329,COL6A1|HSP90AA1|ITGB3|PIK3C2A|PIK3CA|PIK3R1|COL14A1|ANGPTL3,-1,10 uM
GO Biological Processes,19,GO:0030048,actin filament-based movement,19_GO:0009987 cellular process,-2.8,2.7,3.7,27994,148,829,12,1.4,0.41,775|817|1739|1756|1824|4430|5142|6323|7431|23224|23327|54874,CACNA1C|CAMK2D|DLG1|DMD|DSC2|MYO1B|PDE4B|SCN1A|VIM|SYNE2|NEDD4L|FNBP1L,-1,10 uM
KEGG Pathway,24,hsa04930,Type II diabetes mellitus,,-2.8,4.1,4.1,27994,58,829,7,0.84,0.32,775|5290|5295|6514|9306|84376|122809,CACNA1C|PIK3CA|PIK3R1|SLC2A2|SOCS6|HOOK3|SOCS4,-1,10 uM
KEGG Pathway,24,ko00140,Steroid hormone biosynthesis,,-2.8,4.1,4.1,27994,58,829,7,0.84,0.32,1581|7364|7365|7366|7367|10720|54490,CYP7A1|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1,10 uM
KEGG Pathway,24,hsa00860,Porphyrin and chlorophyll metabolism,,-2.8,4.7,4.3,27994,43,829,6,0.72,0.29,7364|7365|7366|7367|10720|54490,UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1,10 uM
Reactome Gene Sets,6,R-HSA-210993,Tie2 Signaling,,-2.8,7.5,4.8,27994,18,829,4,0.48,0.24,285|3845|5290|5295,ANGPT2|KRAS|PIK3CA|PIK3R1,-0.99,10 uM
GO Biological Processes,19,GO:0086001,cardiac muscle cell action potential,19_GO:0065007 biological regulation,-2.8,3.6,3.9,27994,75,829,8,0.97,0.34,775|817|1739|1756|1824|6323|7871|23327,CACNA1C|CAMK2D|DLG1|DMD|DSC2|SCN1A|SLMAP|NEDD4L,-0.99,10 uM
GO Biological Processes,19,GO:0016125,sterol metabolic process,19_GO:0008152 metabolic process,-2.8,2.6,3.6,27994,170,829,13,1.6,0.43,1581|2330|3157|3158|3422|4504|5444|6309|23541|27329|51302|79071|285440,CYP7A1|FMO5|HMGCS1|HMGCS2|IDI1|MT3|PON1|SC5D|SEC14L2|ANGPTL3|CYP39A1|ELOVL6|CYP4V2,-0.99,10 uM
