© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
RAD23A	 	other	 	 	 	2.18E-02	TP53	 
CCN4	 	other	 	 	 	4.32E-02	BCL2L1	 
CDC25B	 	phosphatase	 	 	 	4.32E-02	TP53	 
IVNS1ABP	 	other	 	 	 	2.18E-02	PML	 
GDF2	 	growth factor	 	 	 	4.42E-03	CXCL8,LYVE1,MYC,SMAD7	 
AIRE	 	transcription regulator	 	 	 	1.91E-02	SAG,TLR8	 
DUSP10	 	phosphatase	 	 	 	2.18E-02	TP53	 
HNRNPC	 	other	 	 	 	6.73E-03	MYC,TP53	 
SLC25A4	 	transporter	 	 	 	1.41E-03	BCL2L1,BIRC3	 
PPARD	 	ligand-dependent nuclear receptor	 	 	 	7.60E-03	BCL2L1,IGFBP1,PLIN2,RASGRP1	 
TNFRSF13C	 	transmembrane receptor	 	 	 	1.22E-02	BCL2L1,CXCL8	 
NOTCH1	 	transcription regulator	 	-1.915	 	1.77E-02	BCL2L1,BIRC3,CXCL8,ERBB2,LYVE1,MYC,TP53	 
RNPS1	 	other	 	 	 	2.18E-02	BCL2L1	 
LRP6	 	transmembrane receptor	 	 	 	4.14E-02	DKK1,ROCK2	 
ADD3	 	other	 	 	 	2.18E-02	DSG3	 
PTPN13	 	phosphatase	 	 	 	2.18E-02	BCL2L1	 
AHSG	 	other	 	 	 	4.32E-02	CXCL8	 
GPNMB	 	enzyme	 	 	 	2.77E-03	ITGA5,TAC1	39 (5)
PLA2G1B	 	enzyme	 	 	 	2.18E-02	CXCL8	 
RPL23	 	other	 	 	 	2.18E-02	TP53	 
HABP2	 	peptidase	 	 	 	4.32E-02	CXCL8	 
CAT	 	enzyme	 	 	 	3.47E-02	CXCL8,TIMP1,TP53	 
TNFAIP3	 	enzyme	 	 	 	4.68E-03	BIRC3,CCL20,CXCL8	21 (6)
PPP3CB	1.267	phosphatase	 	 	 	2.18E-02	TP53	 
ITGB1	 	transmembrane receptor	 	-0.655	 	4.19E-03	CXCL8,ERBB2,ITGA5,MYC,TP53	62 (13)
CDC45	 	other	 	 	 	2.18E-02	MYC	 
MGMT	 	enzyme	 	 	 	4.32E-02	TP53	 
UCHL1	 	peptidase	 	 	 	4.55E-03	BCL2L1,TP53	 
PRPF8	 	other	 	 	 	4.32E-02	MDM4	 
SYCP3	 	other	 	 	 	4.32E-02	BCL2L1	 
PTPA	-2.116	phosphatase	 	 	 	2.18E-02	MYC	 
SFRP1	 	transmembrane receptor	 	 	 	1.66E-02	DKK1,MYC,TP53	 
EZR	 	other	 	 	 	1.17E-02	BCL2L1,ERBB2,MYC	 
resolvin D2	 	chemical - endogenous mammalian	 	 	 	4.66E-02	CXCL8,LY96	 
GSTM1	 	enzyme	 	 	 	2.18E-02	CXCL8	 
MAPK8	 	kinase	 	0.000	 	3.21E-02	BCL2L1,BIRC3,CXCL8,MYC,TAC1	 
ADAM17	 	peptidase	 	 	 	3.64E-02	CXCL8,CXCR1	 
CHEK1	 	kinase	 	 	 	3.14E-03	BCL2L1,MYC,TP53	36 (5)
SPTBN1	1.058	other	 	 	 	4.32E-02	BCL2L1	 
AGAP2	 	enzyme	 	 	 	4.32E-02	TP53	 
PTP4A1	 	phosphatase	 	0.707	 	1.14E-03	CDPF1,COL6A1,COL6A2,IGFBP7,MAP3K1,ROCK2,TMEM267,TP53,UBA1	 
RCAN1	2.623	transcription regulator	 	 	 	1.55E-02	CXCL8,RCAN1	 
KSR2	 	kinase	 	 	 	2.18E-02	CXCL8	 
AMD1	 	enzyme	 	 	 	2.18E-02	MYC	 
SMAD7	2.752	transcription regulator	 	 	 	2.66E-02	BGN,COL6A1,MYC,TIMP1	 
MMP9	 	peptidase	 	 	 	2.48E-02	BCL2L1,MSTN,MYC	 
NUMB	 	other	 	 	 	1.50E-03	BCL2L1,BIRC3,TP53	 
CNBP	 	transcription regulator	 	 	 	4.32E-02	MYC	 
CHUK	1.000	kinase	 	-0.561	 	2.66E-02	BCL2L1,CXCL8,MYC,TP53	 
INHBA	 	growth factor	 	0.651	 	3.53E-02	ATXN7L1,BCL2L1,CGA,CXCL8,SMAD7,TIMP1,TMEFF2	 
SPP1	 	cytokine	 	-1.066	 	2.35E-03	BCL2L1,BRCA1,CCL20,CD9,CXCL8,ERBB2,HTATIP2,MYC,TP53	66 (15)
JUP	 	other	 	 	 	1.55E-02	MYC,PML	 
ACP3	 	phosphatase	 	 	 	4.32E-02	ERBB2	 
FOXP3	 	transcription regulator	 	0.391	 	4.41E-02	BRCA1,ERBB2,POLD3,SMAD7	 
CXCR1	-2.102	G-protein coupled receptor	 	 	 	1.22E-02	BCL2L1,CXCL8	 
SH3KBP1	 	other	 	 	 	2.72E-02	BCL2L1,MYC	 
LY96	-2.144	transmembrane receptor	 	 	 	6.73E-03	CXCL8,LY96	15 (3)
CCL2	 	cytokine	 	-1.941	 	6.37E-03	BCL2L1,CXCL8,HTR2B,ITGA5,TIMP1	76 (12)
TYMS	 	enzyme	 	 	 	4.55E-03	MYC,TP53	 
RNF34	1.175	enzyme	 	 	 	4.55E-03	BCL2L1,TP53	31 (4)
SERPINE1	 	other	 	 	 	9.29E-03	CXCL8,DLG4	 
PRKCA	-1.301	kinase	 	 	 	3.07E-02	ARHGDIB,BCL2L1,ERBB2,PML,TP53	 
ENO1	 	enzyme	 	 	 	6.73E-03	BCL2L1,MYC	 
PNN	 	other	 	 	 	3.87E-03	BCL2L1,MYC,TIMP1	 
RBM8A	 	other	 	 	 	4.32E-02	BCL2L1	 
miR-338-5p (miRNAs w/seed ACAAUAU)	 	mature microRNA	 	 	 	2.18E-02	SPINK1	 
miR-521 (miRNAs w/seed ACGCACU)	 	mature microRNA	 	 	 	2.18E-02	ERCC8	 
mir-363	 	microRNA	 	 	 	2.18E-02	MYC	 
miR-185-3p (and other miRNAs w/seed GGGGCUG)	 	mature microRNA	 	 	 	4.32E-02	MYC	 
mir-34	 	microRNA	 	1.107	bias	3.19E-02	BIRC3,MDM4,MYC,TP53	 
mir-192	 	microRNA	 	 	 	4.66E-02	CXCL8,TP53	 
miR-548d-3p (and other miRNAs w/seed AAAAACC)	 	mature microRNA	 	 	 	2.18E-02	ERBB2	 
miR-545-3p (miRNAs w/seed CAGCAAA)	 	mature microRNA	 	 	 	2.18E-02	BRCA1	 
mir-95	-3.729	microRNA	 	 	 	1.41E-03	BRCA1,SPINK1	 
let-7	-1.237	microRNA	 	-0.193	bias	3.67E-03	AGO2,BCL2L1,BRCA1,BUB1B,CKS1B,EIF4A1,MYC,NAP1L1,PNKD,RCAN1,SNHG16	 
miR-31-5p (and other miRNAs w/seed GGCAAGA)	 	mature microRNA	 	 	 	2.30E-02	CXCL8,ITGA5	 
mir-331	 	microRNA	 	 	 	4.32E-02	MYC	 
miR-489-3p (miRNAs w/seed UGACAUC)	 	mature microRNA	 	 	 	4.32E-02	GCA	 
miR-548h-5p (and other miRNAs w/seed AAAGUAA)	 	mature microRNA	 	 	 	4.32E-02	ERBB2	 
miR-138-5p (miRNAs w/seed GCUGGUG)	 	mature microRNA	 	 	 	4.55E-03	ROCK2,SLC45A3	 
miR-375-3p (miRNAs w/seed UUGUUCG)	 	mature microRNA	 	 	 	5.33E-04	ADIPOR2,JAK2,MYC	 
mir-491	-1.171	microRNA	 	 	 	2.18E-02	BCL2L1	 
miR-130a-3p (and other miRNAs w/seed AGUGCAA)	 	mature microRNA	 	 	 	1.55E-02	ATG2B,TAC1	 
miR-4651 (and other miRNAs w/seed GGGGUGG)	 	mature microRNA	 	 	 	2.18E-02	BCL2L1	 
mir-504	 	microRNA	 	 	 	4.32E-02	TP53	 
miR-330-5p (and other miRNAs w/seed CUCUGGG)	 	mature microRNA	 	 	 	2.77E-03	BCL2L1,SMO	 
miR-758-5p (and other miRNAs w/seed GGUUGAC)	 	mature microRNA	 	 	 	4.32E-02	TP53	 
miR-324-5p (miRNAs w/seed GCAUCCC)	 	mature microRNA	 	 	 	4.32E-02	SMO	 
mir-105	 	microRNA	 	 	 	4.32E-02	MYC	 
let-7a-5p (and other miRNAs w/seed GAGGUAG)	 	mature microRNA	 	0.614	bias	2.50E-02	ACP1,BCL2L1,GTPBP3,MYC,PGRMC1,POLD2,RTCA	 
miR-1204 (miRNAs w/seed CGUGGCC)	 	mature microRNA	 	 	 	2.18E-02	TP53	 
PIM1	 	kinase	 	 	 	4.34E-02	ERBB2,MYC,TP53	 
AKT1	 	kinase	 	-0.931	 	2.69E-02	BCL2L1,BIRC3,CXCL8,DLG4,IGFBP1,MYC,TP53	 
SOX6	 	transcription regulator	 	 	 	9.29E-03	MYC,TP53	 
CD44	-1.036	other	 	-1.207	 	3.36E-02	BCL2L1,BIRC3,ERBB2,LAMB1,MYC	 
F3	 	transmembrane receptor	 	 	 	3.98E-02	CXCL8,LAMB1,PAK3,SEMA3A	 
SMARCA1	 	transcription regulator	 	 	 	9.29E-03	SFN,TP53	 
PRTN3	 	peptidase	 	 	 	9.29E-03	C5AR1,CXCL8	 
Zingiber officiale ginger extract	 	chemical drug	 	 	 	4.32E-02	BCL2L1	 
IGK	 	other	 	 	 	4.32E-02	BCL2L1	 
CCL21	 	cytokine	 	 	 	4.32E-02	CXCL8	 
JUN	-1.138	transcription regulator	 	1.053	 	1.24E-03	BIRC3,BRCA1,CCL20,CXCL8,CXCR1,DKK1,DMTF1,ERBB2,IGFBP1,IGFBP7,mir-154,mir-208,MYC,SMAD7,TP53	76 (12)
EIF4G1	 	translation regulator	 	 	 	8.94E-03	BCL2L1,BRCA1,TP53	 
CENPX	 	other	 	 	 	4.32E-02	MYC	 
LTA	 	cytokine	 	0.000	bias	2.29E-03	ERBB2,ITGA5,JAK2,LYVE1	 
P4HB	 	enzyme	 	 	 	2.18E-02	AGO2	 
RPS14	 	translation regulator	 	 	 	4.76E-04	MYC,TP53	 
CCNG1	 	other	 	 	 	4.32E-02	TP53	 
PTGER2	 	G-protein coupled receptor	 	 	 	4.14E-02	CXCL8,TIMP1	 
CEBPB	 	transcription regulator	 	0.578	 	3.01E-03	ALDH1A1,APCS,BCL2L1,CXCL8,HSPD1,LY96,MYC,SGK1,TLR8,TP53	29 (5)
UBE3A	 	enzyme	 	 	 	3.16E-02	PML,TP53	 
PARP1	 	enzyme	 	 	 	3.57E-02	ERBB2,ITPR1,LGALS3BP,MYC	 
HDAC3	 	transcription regulator	 	 	 	5.42E-03	BIRC3,CXCL8,LGALS9,MYC,SMAD7	27 (3)
PLCE1	 	enzyme	 	 	 	4.55E-03	CCL20,CXCL8	 
IL1R2	 	transmembrane receptor	 	 	 	1.41E-03	CCL20,CXCL8	 
PBK	 	kinase	 	 	 	4.32E-02	BIRC3	 
FBXW7	 	enzyme	 	0.686	 	3.01E-02	ME2,MYC,SQLE,TP53	 
FST	 	other	 	 	 	1.91E-02	CGA,MSTN	 
ADIPOQ	 	other	 	-0.084	 	3.65E-03	ADIPOR2,CCL20,CGA,CXCL8,TIMP1,TP53	33 (6)
CSF3	 	cytokine	 	-0.218	 	2.76E-02	BCL2L1,BIRC3,CXCL8,PYHIN1,TLR8,TP53	 
ASS1	 	enzyme	 	 	 	4.32E-02	MYC	 
PPRC1	 	transcription regulator	 	1.961	bias	1.65E-02	CCL20,CXCL8,GNG11,SPINK1	 
MED1	 	transcription regulator	 	 	 	4.19E-02	BCL2L1,ERBB2,MYC,TP53	 
IGFBP5	 	other	 	 	 	3.16E-02	SFN,TP53	 
BCYRN1	 	other	 	 	 	1.85E-02	BCL2L1,CKS1B,S100A11	 
PLAUR	1.482	transmembrane receptor	 	 	 	2.48E-02	BCL2L1,C5AR1,MYC	 
TSC22D1	 	transcription regulator	 	 	 	2.77E-03	CXCL8,TP53	 
LIMK1	 	kinase	 	 	 	2.18E-02	MYC	 
CLDN7	 	other	 	-0.943	 	1.84E-02	ARHGDIB,CCL20,CXCL8,DKK1,H2AC18/H2AC19,IGFBP7,SLC25A22	 
HEIH	-2.024	other	 	 	 	2.18E-02	BCL2L1	 
CDKN2A	 	transcription regulator	 	-1.941	 	4.25E-01	BARD1,MDM4,POLD3,TP53	 
FOXO4	 	transcription regulator	 	 	 	2.05E-02	BCL2L1,IGFBP1,SGK1	 
BCL2L1	-2.601	other	 	-0.817	 	1.53E-02	BCL2L1,COL6A2,CXCL8,TIMP1	 
RPL15	 	other	 	 	 	4.32E-02	MYC	 
rigosertib	 	chemical drug	 	 	 	4.55E-03	BCL2L1,MYC	 
PLAU	 	peptidase	 	 	 	1.85E-02	BCL2L1,C5AR1,TP53	 
IRS2	 	enzyme	 	 	 	6.73E-03	DLG4,MYC	 
CNOT9	 	other	 	 	 	2.18E-02	MYC	 
CAMK2	 	group	 	 	 	2.18E-02	BIRC3	 
RB1CC1	 	other	 	 	 	1.55E-02	MYC,SMAD7	 
SAP18	 	transcription regulator	 	 	 	2.18E-02	BCL2L1	 
CXCL12	 	cytokine	 	1.381	 	1.63E-05	BCL2L1,CD9,CXCL8,CYP2D6,ERBB2,IFNGR2,IGFBP7,MAFK,MYC,PPEF2,SORBS3,TAC1,TIMP1,TP53	67 (13)
APP	 	other	 	1.778	 	5.12E-02	BCL2L1,CCL20,CXCL8,KAT2A,MYC,NARS2,PTPA,RCAN1,SMAD7,TLR8,TP53	 
GSTA1	1.076	enzyme	 	 	 	2.18E-02	BCL2L1	 
FOXO6	 	transcription regulator	 	 	 	2.18E-02	MYC	 
MAGEA4	 	other	 	 	 	4.32E-02	TP53	 
PPP2R5C	 	other	 	 	 	5.59E-03	BCL2L1,BIRC3,CXCL8	41 (9)
LINC00570	 	other	 	 	 	2.18E-02	ROCK2	 
DLEU2	 	other	 	 	 	4.32E-02	mir-154	 
WWP2	 	enzyme	 	 	 	4.32E-02	SMAD7	 
SRSF3	 	other	 	 	 	3.64E-02	CXCL8,TP53	 
LIPE	 	enzyme	 	 	 	9.29E-03	ACSS2,PC	 
PPM1B	-3.543	phosphatase	 	 	 	2.18E-02	TP53	 
NCOA5	 	other	 	 	 	4.32E-02	MYC	 
CXCR4	 	G-protein coupled receptor	 	-0.156	 	3.18E-03	CD9,CXCL8,IGFBP7,MYC,TP53	79 (15)
MAPK9	 	kinase	 	0.359	 	6.92E-04	BIRC3,CIDEC,CXCL8,LGALS3BP,LUC7L3,MYC,PLIN2	56 (11)
NKX2-3	 	transcription regulator	 	0.681	 	1.49E-02	ARHGDIB,CXCL8,GCA,GMPR,H2AC18/H2AC19,PSAT1,RPS29,SEMA3A,SMAD7,TTC3	 
DDR1	 	kinase	 	 	 	1.55E-02	BCL2L1,TP53	 
XIAP	 	enzyme	 	 	 	3.64E-02	CXCL8,MYC	 
KCNMA1	 	ion channel	 	 	 	4.32E-02	CXCL8	 
TNF	 	cytokine	 	-0.082	 	9.02E-03	APCS,BANCR,BCL2L1,BGN,BIRC3,BUB1B,C5AR1,CCL20,CIDEC,CTSS,CXCL8,CXCR1,DKK1,ERBB2,FRMD4A,FTX,GSTM2,HEIH,HSPD1,IFNGR2,IGFBP1,ITGA5,LGALS9,LY96,LYVE1,MAFF,MYC,OSMR,PML,RFX5,RGL2,RXRA,SGK1,SMO,SNHG16,SQLE,TAC1,TIMP1,TLR8,TP53,WTAP	87 (17)
XRCC5	 	enzyme	 	 	 	1.55E-02	SEMA3A,TP53	 
DDB2	 	other	 	 	 	1.91E-02	SEMA3A,TP53	 
SERPINF1	 	other	 	 	 	4.96E-02	BCL2L1,CXCL8,MYC	 
PPARGC1A	 	transcription regulator	 	-1.913	 	3.95E-03	CYP2D6,ERBB2,IGFBP7,LAMB1,MYC,RXRA,TNFRSF12A,TP53	 
NR4A2	 	ligand-dependent nuclear receptor	 	 	 	1.03E-02	CCL20,CXCL8,FABP2	 
KSR1	 	kinase	 	 	 	4.32E-02	MYC	 
IL36G	 	cytokine	 	 	 	1.22E-02	CCL20,CXCL8	 
KLF4	 	transcription regulator	 	0.359	 	1.13E-02	ALDH1A1,BCL2L1,BUB1B,MYC,SMAD7,TP53	 
NCOA3	 	transcription regulator	 	 	 	3.98E-02	ERBB2,IGFBP1,KAT2A,PLIN2	 
DUSP1	 	phosphatase	 	-1.117	 	4.41E-02	CCL20,CGA,CXCL8,DKK1	 
RACK1	 	enzyme	 	 	 	3.64E-02	BCL2L1,MYC	 
TGM2	 	enzyme	 	-0.412	 	1.54E-02	ACSS2,BIRC3,C5AR1,CXCL8,DHX33,GCA,LGALS9,MYC,TP53,VSIG4	 
UBE4B	1.233	enzyme	 	 	 	4.32E-02	TP53	 
IGFBP3	 	other	 	 	 	4.66E-02	BCL2L1,LYVE1	 
GHR	-1.228	transmembrane receptor	 	 	 	9.29E-03	MYC,TP53	50 (9)
TSPYL2	 	other	 	 	 	4.32E-02	TP53	 
USP2	1.000	peptidase	 	 	 	4.55E-03	MDM4,TP53	23 (4)
BCL2	 	transporter	 	 	 	1.78E-02	BCL2L1,CXCL8,TIMP1,TP53	 
RPS6KB2	 	kinase	 	 	 	2.18E-02	TP53	 
S100A8	 	other	 	 	 	2.71E-02	BCL2L1,CCL20,CXCL8	 
PEBP4	 	other	 	 	 	4.55E-03	BCL2L1,TP53	 
REG1A	 	growth factor	 	 	 	2.18E-02	BCL2L1	 
INS	 	other	 	-1.958	 	2.34E-02	BCL2L1,CIDEC,IGFBP1,PLIN2	 
TP73	 	transcription regulator	 	-1.208	 	4.43E-02	DMTF1,FLOT2,INPP4A,MYC,PML,POLD2,RFX3,SFN,TNFRSF12A,TP53	 
GPS2	 	transcription regulator	 	 	 	2.51E-03	CCL20,CXCL8,MYC	 
TNFSF13B	 	cytokine	 	-0.254	 	8.37E-03	BCL2L1,CXCL8,MYC,TP53	68 (10)
CDKN1A	 	kinase	 	0.284	 	5.85E-03	ACP1,BCL2L1,BRCA1,BUB1B,CKS1B,KIF2C,LGALS3BP,LUC7L3,MYC,TP53	25 (4)
TNPO2	 	transporter	 	 	 	2.18E-02	CXCL8	 
MEP1A	 	peptidase	 	 	 	2.18E-02	CXCL8	 
FOXO1	 	transcription regulator	 	1.280	 	4.93E-02	BIRC3,CCL20,CXCL8,DNM3OS,IGFBP1,MYC,SGK1,TP53	 
GATAD2B	 	transcription regulator	 	 	 	4.32E-02	CXCL8	 
AHNAK	 	other	 	 	 	2.18E-02	MYC	 
COIL	 	enzyme	 	 	 	4.32E-02	H2AC21	 
TYMP	 	growth factor	 	 	 	2.18E-02	CXCL8	 
CD22	 	transmembrane receptor	 	 	 	4.32E-02	BCL2L1	 
TPSD1	 	peptidase	 	 	 	4.32E-02	CXCL8	 
GZMA	 	peptidase	 	 	 	4.32E-02	CXCL8	 
SPHK1	 	kinase	 	-0.776	 	6.94E-04	BCL2L1,BIRC3,CXCL8,TIMP1,TP53	65 (14)
SMAD4	 	transcription regulator	 	-0.418	 	9.70E-03	ARHGEF2,BGN,CCL20,DNAH2,ERBB2,MYC,PAK3,SGK1,SMAD7	23 (3)
ITGA6	 	transmembrane receptor	 	 	 	3.16E-02	BCL2L1,TP53	 
CTSB	 	peptidase	 	 	 	3.64E-02	BCL2L1,MYC	 
GADD45B	 	other	 	 	 	4.55E-03	BGN,TP53	45 (7)
PGR	 	ligand-dependent nuclear receptor	 	-0.155	 	3.72E-02	BCL2L1,BIRC3,COL6A1,COL6A2,CXCL8,ERBB2,FLOT2,GRK4,IGFBP1,MYC,SGK1	 
IL1RAP	 	transmembrane receptor	 	 	 	1.55E-02	CCL20,CXCL8	 
HDAC2	 	transcription regulator	 	 	 	2.66E-02	BRCA1,CXCL8,DKK1,MYC	 
IGFBP2	 	other	 	-1.987	bias	1.78E-02	ARRB2,BCL2L1,ITGA5,MYC	 
PTAFR	 	G-protein coupled receptor	 	 	 	4.66E-02	CXCL8,MYC	 
SRC	 	kinase	 	-1.498	 	9.89E-03	BCL2L1,CGA,CXCL8,ERBB2,MYC	79 (15)
PEBP1	 	other	 	 	 	2.72E-02	BCL2L1,CCL20	 
CKS1B	2.352	kinase	 	 	 	2.77E-03	CKS1B,CXCL8	 
MED26	 	transcription regulator	 	 	 	4.32E-02	MYC	 
FGFR1	 	kinase	 	 	 	1.49E-02	MYC,PRSS27,SFN	 
IL1RN	 	cytokine	 	-0.254	bias	1.62E-02	CCL20,CTSS,CXCL8,LGALS9,PML,TAC1	 
RPL11	 	other	 	 	 	1.22E-02	MYC,TP53	 
ACVRL1	2.366	kinase	 	 	 	2.29E-03	CXCL8,LYVE1,MYC,SMAD7	 
PROK1	 	growth factor	 	 	 	9.29E-03	CXCL8,RCAN1	 
EZH2	 	transcription regulator	 	0.008	 	1.53E-03	BIRC3,BRCA1,CEMIP,CXCL8,DKK1,DNAH2,EPM2AIP1,ERBB2,GSTM4,IGFBP1,MYC,NIBAN1,SFN,TP53,WTAP	 
LAMP2	 	enzyme	 	 	 	4.32E-02	RCAN1	 
MAP3K5	 	kinase	 	 	 	3.16E-02	CXCL8,TP53	 
ACSL4	 	enzyme	 	-0.762	 	3.01E-02	H2AC8,ITPR1,JAK2,LAMB1	 
MMP2	 	peptidase	 	 	 	2.48E-02	BCL2L1,JAK2,MYC	 
DNAJA3	 	other	 	 	 	4.55E-03	CXCL8,ERBB2	39 (5)
MAP4K4	 	kinase	 	 	 	2.18E-02	ITGA5	 
RPS6	 	other	 	 	 	4.32E-02	TP53	 
RFX1	 	transcription regulator	 	 	 	3.16E-02	IL5RA,MYC	 
MTA1	 	transcription regulator	 	 	 	2.48E-02	BCL2L1,BRCA1,MYC	 
melamine	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
gedatolisib	 	chemical drug	 	 	 	2.18E-02	CXCL8	 
UPF1	 	enzyme	 	-1.342	 	1.46E-04	BIRC3,IQGAP1,ITGA5,SGK1,SMG1	 
NME2	 	kinase	 	 	 	4.32E-02	MYC	 
CAMP	 	other	 	0.361	 	4.64E-02	BCL2L1,CCL20,CXCL8,TAC1	 
BIRC2	1.382	enzyme	 	 	 	3.16E-02	BIRC3,CXCL8	 
E2F4	 	transcription regulator	 	 	 	1.27E-02	BARD1,BRCA1,CKS1B,H2AC18/H2AC19,IER5,MYC,PGRMC1,PSAT1,SMARCA5,TP53	 
CCNT1	 	transcription regulator	 	 	 	6.73E-03	CXCL8,MYC	9 (2)
IL1A	 	cytokine	 	-0.399	 	1.35E-02	ALDH1A1,BCL2L1,BIRC3,CCL20,CXCL8,ITGA5,LGALS9,MYC,TAC1	 
FAS	 	transmembrane receptor	 	 	 	1.97E-02	ARRB2,BCL2L1,BIRC3,CCL20,CXCL8,FLOT2,INPP4A,ITPR1,PLIN2,SPG7,SPINK1,TLR8,VRK2	 
SLC9A1	 	ion channel	 	 	 	4.32E-02	CXCL8	 
BCLAF1	 	transcription regulator	 	 	 	4.32E-02	TP53	 
TNFRSF12A	2.965	transmembrane receptor	 	 	 	1.22E-02	BCL2L1,CXCL8	 
JAK2	3.139	kinase	 	0.684	 	4.67E-04	BCL2L1,CXCL8,JAK2,MYC,OSMR,TP53	62 (12)
NTRK1	 	kinase	 	 	 	4.68E-03	BCL2L1,DLG4,TP53	46 (7)
CCL5	 	cytokine	 	-0.762	bias	7.99E-03	C5AR1,CXCL8,F2RL2,SGK1,SQLE	57 (7)
APC	 	enzyme	 	1.301	 	6.87E-03	FABP2,mir-515,MYC,SGK1	 
PTPN11	 	phosphatase	 	 	 	1.49E-02	BCL2L1,CXCL8,TP53	 
GFI1B	 	transcription regulator	 	 	 	2.30E-02	BCL2L1,MYC	 
KLF6	 	transcription regulator	 	0.106	 	3.01E-02	BCL2L1,CXCL8,MYC,NR1H2	 
IL36RN	 	cytokine	 	 	 	2.18E-02	CXCL8	 
FRS2	 	other	 	 	 	2.18E-02	ERBB2	 
PTGS2	 	enzyme	 	-0.943	 	2.24E-03	BCL2L1,BIRC3,CXCL8,ERBB2,mir-101,MYC,TP53	31 (8)
NINJ1	 	other	 	 	 	2.18E-02	TP53	 
PAX4	 	transcription regulator	 	 	 	2.18E-02	BCL2L1	 
ING1	 	transcription regulator	 	 	 	4.14E-02	JAK2,TP53	 
TGFB1	 	growth factor	 	-1.216	 	3.00E-02	ARHGEF2,BARD1,BCL2L1,BGN,BUB1B,C5AR1,CEMIP,CKS1B,COL6A1,COL6A2,CXCL8,CXCR1,DKC1,DNAH2,HTR2B,IGFBP7,INTS13,ITGA5,LYVE1,MAP3K1,mir-154,MYC,PAK3,PDGFC,PGRMC1,PML,PSAT1,RASGRP1,RBMS1,ROCK2,S100A11,SEMA3A,SGK1,SMAD7,TIMP1,TNFRSF12A,TP53	 
SMAD3	 	transcription regulator	 	-1.432	 	2.98E-02	BGN,COL6A1,MSTN,MYC,RPS8,SMAD7,TIMP1	 
PIM2	 	kinase	 	 	 	3.16E-02	MYC,TP53	 
F2	 	peptidase	 	0.910	bias	2.44E-02	ADAMTS9,BIRC3,CCL20,CITED4,CXCL8,EIF4A1,MYC,RCAN1,SLIT2,TNFRSF12A	 
INSR	 	kinase	 	 	 	1.55E-02	IGFBP1,MYC	 
BMX	 	kinase	 	 	 	4.32E-02	CXCL8	 
IBTK	-1.216	other	 	 	 	4.32E-02	BCL2L1	 
EDIL3	 	other	 	 	 	4.32E-02	TP53	 
SENP6	 	peptidase	 	 	 	4.32E-02	CXCL8	 
ST6GAL1	 	enzyme	 	 	 	1.55E-02	BIRC3,CXCL8	 
NFKB2	 	transcription regulator	 	 	 	1.70E-03	BCL2L1,BIRC3,CCL20,CXCL8,MYC	31 (4)
ETS1	 	transcription regulator	 	 	 	2.88E-02	ARHGDIB,BCL2L1,BRCA1,ERBB2,mir-101,PML,TP53	 
PDE10A	 	enzyme	 	 	 	2.18E-02	TAC1	 
DDX17	 	enzyme	 	 	 	3.64E-02	mir-515,MYC	 
CEBPD	 	transcription regulator	 	 	 	1.78E-02	CCL20,CXCL8,MYC,TLR8	 
PTPRT	 	phosphatase	 	 	 	4.32E-02	BCL2L1	 
ACHE	 	enzyme	 	 	 	2.18E-02	TP53	 
MLLT3	 	transcription regulator	 	 	 	6.73E-03	MYC,SGK1	 
HOXA5	 	transcription regulator	 	 	 	3.87E-03	CXCL8,IGFBP1,TP53	 
MVK	 	kinase	 	 	 	2.18E-02	TP53	 
DOCK3	 	other	 	 	 	2.18E-02	GRIN2D	 
NTSR2	 	G-protein coupled receptor	 	 	 	4.32E-02	BCL2L1	 
RFX3	-2.473	transcription regulator	 	 	 	1.22E-02	IL5RA,MYC	 
ETS2	 	transcription regulator	 	-0.201	 	1.51E-03	BCL2L1,BRCA1,CGA,ERBB2,mir-101	 
SKP1	 	transcription regulator	 	 	 	2.18E-02	BRCA1	 
TNFSF9	 	cytokine	 	 	 	2.30E-02	BCL2L1,CXCL8	 
BRAT1	 	other	 	 	 	2.18E-02	TP53	 
SENP1	1.000	peptidase	 	 	 	1.55E-02	MYC,PML	 
SVIL	 	other	 	 	 	4.32E-02	TP53	 
SIRT1	 	transcription regulator	 	-0.321	 	4.61E-03	BCL2L1,BIRC3,CD9,DKK1,EPM2AIP1,MYC,PML,TP53	67 (13)
GPR32	 	G-protein coupled receptor	 	 	 	4.32E-02	CXCL8	 
TMEM9B	 	other	 	 	 	4.32E-02	CXCL8	 
RPS6KA5	1.371	kinase	 	 	 	6.73E-03	CCL20,MYC	 
GNL3	1.599	other	 	 	 	2.18E-02	TP53	 
IL18BP	 	other	 	 	 	4.32E-02	CXCL8	 
YBX3	 	transcription regulator	 	 	 	1.55E-02	ERBB2,MYC	 
RIPK1	 	kinase	 	 	 	4.66E-02	CXCL8,TP53	 
IL22RA1	 	transmembrane receptor	 	 	 	6.73E-03	CCL20,CXCL8	 
PLIN1	 	other	 	 	 	2.18E-02	CIDEC	 
