© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
mir-17	 	microRNA	 	0.233	bias	1.54E-03	BIRC2,DAB2,E2F1,EP300,FN1,JAK1,RBL2,THBS1,USP2	 
miR-9-5p (and other miRNAs w/seed CUUUGGU)	 	mature microRNA	 	 	 	1.18E-02	CD44,JAK1,JAK2	 
mir-9	 	microRNA	 	 	 	3.64E-02	JAK1,JAK2,let-7	 
mir-183	 	microRNA	 	-0.655	 	1.02E-02	CYP7A1,FN1,IGFBP1,SAMD9,TRANK1,VIM	 
miR-147a (miRNAs w/seed UGUGUGG)	 	mature microRNA	 	 	 	4.14E-02	VEGFA	 
miR-411-3p (and other miRNAs w/seed AUGUAAC)	 	mature microRNA	 	 	 	4.14E-02	SPRY4	 
miR-411-5p (and other miRNAs w/seed AGUAGAC)	 	mature microRNA	 	 	 	1.72E-03	SPRY4,TXNIP	 
mir-379	 	microRNA	 	 	 	9.74E-03	SPRY4,TXNIP	 
mir-194	 	microRNA	 	 	 	2.65E-02	E2F1,PLAUR,THBS1	 
miR-502-5p (and other miRNAs w/seed UCCUUGC)	 	mature microRNA	 	 	 	4.14E-02	KMT5A	 
miR-331-5p (and other miRNAs w/seed UAGGUAU)	 	mature microRNA	 	 	 	4.14E-02	PLAUR	 
miR-331-3p (miRNAs w/seed CCCCUGG)	 	mature microRNA	 	 	 	9.74E-03	CDCA5,PLAUR	 
mir-8	 	microRNA	 	-1.977	bias	9.89E-03	CITED2,EP300,FN1,MOK,NIN,PPP2R1B,SOX17,UBE2D1,VIM	 
miR-182-5p (and other miRNAs w/seed UUGGCAA)	 	mature microRNA	 	-0.555	bias	7.27E-03	CYP7A1,FN1,IGFBP1,SAMD9,TRANK1	 
miR-504-5p (and other miRNAs w/seed GACCCUG)	 	mature microRNA	 	 	 	4.14E-02	VEGFA	 
miR-330-3p (and other miRNAs w/seed CAAAGCA)	 	mature microRNA	 	 	 	4.14E-02	E2F1	 
mir-33	 	microRNA	 	 	 	4.78E-02	ACACA,CPT1A,HADHB	 
mir-96	 	microRNA	 	0.000	 	5.73E-03	CYP7A1,FN1,IGFBP1,SAMD9,TRANK1,VIM	 
miR-657 (miRNAs w/seed GCAGGUU)	 	mature microRNA	 	 	 	4.14E-02	IGF2R	 
NUPR1	 	transcription regulator	 	-0.898	 	1.29E-02	ACTR3B,AKAP12,CHD4,CHUK,CITED2,DNMT3B,EPB41L4A-AS1,ERCC6L,FCF1,GTF3C2,H2BC14,HLTF,HNRNPM,IL13RA1,ITPR3,JOSD1,NAAA,NEMP1,NFIL3,NUP50,PDK1,PXDC1,RASAL2,RNF122,STK38,TMEM167B,UAP1,VPS45,WASHC5,WNK1,ZNF512	 
PPP2R5E	 	phosphatase	 	 	 	4.14E-02	FN1	 
TWIST1	 	transcription regulator	 	1.764	 	7.37E-02	CD44,FN1,IGFBP1,RUNX3,VEGFA,VIM	 
CD44	2.120	other	 	1.614	bias	2.02E-02	BIRC2,CD44,EP300,FN1,JUN,LAMB1,LAMC1,VIM	 
MLX	 	transcription regulator	 	 	 	1.72E-03	ACACA,TXNIP	 
MYCBP	 	transcription regulator	 	 	 	3.14E-02	EIF2A,LDHA	 
HIF3A	 	transcription regulator	 	 	 	3.14E-02	PLAUR,VEGFA	 
MACROH2A1	 	other	 	-0.587	 	3.79E-02	CITED2,FN1,ID1,IFNAR2,let-7,NBN,TBX3	 
P4HB	 	enzyme	 	 	 	4.14E-02	AGO2	 
BMP4	 	growth factor	 	1.655	bias	4.41E-02	COBLL1,CYP11A1,CYP19A1,HBE1,ID1,ID2,LCP1,PAX2,PRKCB,RUNX3,VEGFA	 
TWIST2	 	transcription regulator	 	1.977	 	3.79E-02	CD44,FN1,H19,VIM	 
APAF1	2.150	other	 	 	 	4.14E-02	VIM	 
ARNT	 	transcription regulator	 	 	 	2.39E-02	CITED2,ID2,LDHA,PGK1,VEGFA	 
CSF3	 	cytokine	 	0.333	 	1.18E-02	CD44,CSF3R,CTLA4,HBE1,HLA-DPA1,JUN,NFIL3,PRKCA,PRKCB,VEGFA	 
WNT7A	 	cytokine	 	 	 	1.83E-02	PLAUR,SPRY4,VIM	 
POU5F1	 	transcription regulator	 	-0.258	 	4.15E-02	APAF1,BIRC2,CARD6,CXCL10,DNMT3B,MEIS1,mir-30 (includes others),NKX2-2,PAX6,SOX17,TBX3,TRAF3,VIM	 
JQ1	 	chemical reagent	 	0.000	bias	3.24E-02	CASC19,CDCA5,E2F1,HEXIM1,IL22,RUNX3	 
GW 6471	 	chemical reagent	 	 	 	4.14E-02	EP300	 
BORCS8-MEF2B	 	transcription regulator	 	 	 	4.14E-02	JUN	 
FOXO4	 	transcription regulator	 	 	 	2.41E-02	IGFBP1,RBL2,SGK1,VEGFA	 
ALOX15B	 	enzyme	 	 	 	4.14E-02	VEGFA	 
BSG	 	transporter	 	0.789	 	2.39E-02	ABCC2,CRP,PLAUR,VEGFA,VIM	 
UTS2	 	other	 	 	 	4.14E-02	HPGD	 
nimustine	 	chemical drug	 	 	 	4.14E-02	FXN	 
CXCL12	 	cytokine	 	1.927	bias	8.85E-03	CD44,CXCL10,CYP2C9,FN1,HNRNPD,IFNAR2,JUN,let-7,RUNX3,STRAP,TDG,THBS1,TNFRSF10C,VIM	83 (5)
HDAC9	 	transcription regulator	 	 	 	4.07E-02	JUN,SMARCA2	 
DLEU2	 	other	 	 	 	1.72E-03	mir-154,PRKACB	 
COL5A1	 	other	 	 	 	4.14E-02	FN1	 
SRSF3	 	other	 	0.975	 	2.10E-03	CD44,E2F1,JUN,VEGFA	 
CXCR4	 	G-protein coupled receptor	 	 	 	1.13E-02	CD44,CXCL10,ID2,let-7,PGK1,TNFRSF10C	 
MAPK9	 	kinase	 	1.982	 	3.11E-01	ACACA,CIDEC,JUN,PLIN2	 
MET	 	kinase	 	1.595	bias	1.68E-02	CD44,FN1,JUN,mir-30 (includes others),VEGFA,VIM	 
CDH1	 	other	 	-1.832	 	1.77E-02	APOA4,BIRC2,FN1,JUN,PLAUR,VEGFA,VIM	 
NCOA3	 	transcription regulator	 	1.744	bias	1.07E-02	ANKRD1,E2F1,IGFBP1,LDHA,PGK1,PLIN2,VEGFA	 
TGM2	 	enzyme	 	-0.338	 	4.82E-02	CEACAM1,CXCL10,EPB41L4A-AS1,FN1,MERTK,MORC2,PAK1,RNF213,SIGLEC12,SLC16A1,SLC27A2,SRD5A3,THBS1,TTC27	 
PTBP3	 	other	 	 	 	3.14E-02	FN1,VIM	 
TGFB1I1	 	transcription regulator	 	 	 	1.49E-02	FABP1,FN1,ID1	 
NR1I3	 	ligand-dependent nuclear receptor	 	 	 	2.10E-03	ABCC2,CYP2B6,CYP2C8,CYP2C9	 
EFEMP1	 	enzyme	 	 	 	2.30E-02	VEGFA,VIM	 
PAX5	 	transcription regulator	 	-1.067	 	2.17E-02	FN1,PAX2,SLC2A6,TXNIP,VIM	 
MAPK10	 	kinase	 	 	 	4.07E-02	CD44,JUN	 
MAP2K5	2.100	kinase	 	1.000	bias	6.90E-03	ACACA,ID1,JUN,THBS1	 
INS	 	other	 	-0.092	 	4.32E-03	ACACA,CIDEC,CRP,IGFBP1,PCK1,PLIN2,VEGFA	 
IFIT1	 	other	 	 	 	4.14E-02	CXCL10	 
DES	 	other	 	 	 	4.14E-02	ANKRD1	 
ONECUT1	1.650	transcription regulator	 	 	 	1.01E-02	ABCC2,C11orf1,CDCA5,CDK13,CENPN,E2F1,EHF,GRB2,KAT7,KATNBL1,LSG1,MAP2K5,MDH1,MEIS1,PCK1,PI4KB,RORA,RPS6KA5,TUBGCP3	 
HNF4A	 	transcription regulator	 	1.869	bias	3.26E-02	ABCC2,ACP6,AHSA1,AP4B1,APOA4,APOB,BAZ1A,BLZF1,BRD8,BTRC,C11orf1,CDCA5,CDK12,CNFN,CPT1A,CRIPT,CRP,CYP2B6,CYP2C8,CYP2C9,CYP7A1,DDX23,DHX8,ELMOD3,FABP1,FIG4,GIN1,GNL3,GTF3C5,HADHA,HADHB,HPS5,IGFBP1,JUN,KAT7,KATNBL1,LSG1,LUC7L2,MAP2K5,MDH1,mir-122,MOCS3,MRPS27,MRPS7,MTRF1,NBAS,NONO,NRDC,PANK1,PARD3B,PCK1,PDIA5,PI4KB,PNO1,POLB,RAB3C,RBL2,RORA,RPS6KA5,SENP1,SGK1,SLC17A5,SLC19A3,SLC35A1,SMC1A,SOX17,STOM,STRAP,STYXL1,SUPT3H,SUPV3L1,TENT5A,TEX10,TFB1M,THYN1,TIA1,TIMM10B,TIMM23B,TMEM128,TNPO3,TXNIP,UBP1,UMPS,USP2,VN1R1,WASHC5,WDFY2,WTAP,ZBTB37,ZSCAN9	 
RXRA	-1.370	ligand-dependent nuclear receptor	 	0.561	 	9.51E-04	ABCB4,ACACA,ACOX1,ACSL5,CPT1A,CYP2B6,CYP2C9,CYP4A11,CYP7A1,FABP1,HADHB,HMGCS2,IGFBP1,PCK1,RORA,VEGFA	 
RALY	 	transcription regulator	 	 	 	4.14E-02	E2F1	 
RAD50	 	enzyme	 	 	 	4.14E-02	NBN	 
FOXA2	 	transcription regulator	 	 	 	7.35E-03	APOB,BIRC2,IGFBP1,mir-122,RORA,SLCO1B3,SOX17	 
STXBP2	 	transporter	 	 	 	4.14E-02	STX11	 
SOCS3	 	phosphatase	 	0.849	 	2.11E-03	APOB,CTLA4,CXCL10,JAK2,JUN,PCK1	 
CCN5	 	growth factor	 	-1.982	 	8.26E-02	CD44,FN1,JUN,VIM	 
RDX	-1.150	other	 	 	 	4.14E-02	ABCC2	 
MAP2K7	 	kinase	 	 	 	3.46E-02	BTRC,CXCL10,DUT,FN1,KLC1	 
PTPRR	 	phosphatase	 	 	 	2.30E-02	DNMT3B,JUN	 
SRPK1	 	kinase	 	 	 	2.30E-02	CXCL10,VEGFA	 
DNAJA3	 	other	 	 	 	1.58E-02	STAT5B,VEGFA	 
NFE4	 	transcription regulator	 	 	 	4.14E-02	HBE1	 
isonicotinamide	 	chemical reagent	 	 	 	4.14E-02	PCK1	 
ETV6	 	transcription regulator	 	 	 	4.07E-02	SPRY4,VEGFA	 
NME3	 	kinase	 	 	 	4.14E-02	VIM	 
GJB1	 	transporter	 	 	 	4.14E-02	VEGFA	 
SND1	 	enzyme	 	 	 	1.85E-02	E2F1,ID1,LAPTM5,SMURF1	 
XPO5	 	other	 	 	 	5.01E-03	let-7,mir-30 (includes others)	 
PPP1R3A	 	phosphatase	 	 	 	4.14E-02	THBS1	 
SATB1	-1.090	transcription regulator	 	-0.020	 	5.53E-03	CEACAM1,EPSTI1,GPT2,IRF8,NUP153,PRKCB,PSMD2,SGK1,SLC27A2,VIM	 
FAS	 	transmembrane receptor	 	 	 	3.53E-02	BIRC2,CXCL10,GIT2,HPS5,IL13RA1,JUN,MAP2K5,MERTK,PAK2,PLCL2,PLIN2,PRKCB,RHEB,SORL1,SPTBN1,STK38,TBC1D1,TRAF3,VEGFA,WNK1	 
EPHB6	 	kinase	 	-0.651	 	2.64E-02	FKBP1A,let-7,mir-30 (includes others),mir-506,VTRNA2-1	 
TIAM2	 	enzyme	 	 	 	4.14E-02	VIM	 
NR1I2	 	ligand-dependent nuclear receptor	 	1.827	 	5.11E-05	ABCC2,CYP2B6,CYP2C8,CYP2C9,CYP7A1,E2F1,SLCO1B3	 
USF2	 	transcription regulator	 	0.000	bias	1.24E-02	CYP19A1,IGF2R,PIGR,PRKG1,THBS1	 
ARID4A	 	transcription regulator	 	 	 	4.14E-02	E2F1	 
CCN2	 	growth factor	 	0.536	 	4.42E-02	BIRC2,CD44,EGLN3,FN1,JUN	 
HNRNPL	 	other	 	 	 	4.14E-02	CEACAM1	 
CFH	 	other	 	 	 	4.14E-02	CRP	 
SMAD3	 	transcription regulator	 	1.467	bias	1.10E-02	ANKRD1,APOA4,APOB,FN1,ID1,JUN,let-7,MBOAT2,TBX3,THBS1,VEGFA,VIM	 
ZFP36L1	 	transcription regulator	 	 	 	4.14E-02	VEGFA	 
FGF19	 	growth factor	 	 	 	2.30E-02	CYP7A1,KL	 
ETS1	 	transcription regulator	 	0.555	bias	2.48E-02	ARPC2,BTRC,CD44,CHUK,DIAPH1,FN1,HPGD,PEG10,RUNX3,TBXAS1,VEGFA	 
C4A/C4B	2.050	other	 	 	 	5.01E-03	C4A/C4B,CXCL10	 
YAP1	 	transcription regulator	 	1.744	bias	1.53E-03	ANKRD1,C10orf143,CDCA5,CYTOR,DAB2,E2F1,FN1,LAMTOR5-AS1,let-7,LINC00467,NF2,SGK1,VIM	 
PHB	 	transcription regulator	 	 	 	2.65E-02	E2F1,JUN,KPNA4	 
PLAGL1	 	transcription regulator	 	 	 	6.84E-03	APAF1,FABP1,PLIN2	 
AGPS	 	enzyme	 	 	 	4.14E-02	LPCAT1	 
MAPK3	 	kinase	 	 	 	4.08E-02	E2F1,FN1,JUN,PLAUR,THBS1	 
EIF3F	 	translation regulator	 	 	 	9.12E-03	HADHA,MAGEC2,RBM46	 
JAGN1	 	other	 	 	 	4.14E-02	CSF3R	 
RAB9A	 	enzyme	 	 	 	4.14E-02	IGF2R	 
NR2F2	 	ligand-dependent nuclear receptor	 	 	 	2.66E-03	APOA4,CYP7A1,E2F1,HBE1,VEGFA	 
PLIN1	 	other	 	 	 	4.14E-02	CIDEC	 
HSPA5	 	enzyme	 	0.626	 	1.95E-02	ACADVL,CPT1A,CXCL10,EIF2A,HADHA	 
PTTG1	 	transcription regulator	 	 	 	1.49E-02	CD44,VEGFA,VIM	 
EFNA1	 	other	 	0.000	 	4.58E-02	BACH2,EP300,NTM,SLC20A1,USP9Y,WWP1	 
PLAT	 	peptidase	 	 	 	3.64E-02	CXCL10,FN1,JUN	 
RAPGEF4	 	other	 	 	 	4.14E-02	THBS1	 
RELA	 	transcription regulator	 	0.647	bias	4.69E-03	ALPK2,ANKRD1,BACH2,BIRC2,CD28,CD44,CRP,CRYAB,CXCL10,CYP19A1,CYP2B6,CYP2C9,DNMT3B,E2F1,EHF,FN1,ICA1,IL22,NF2,PAX2,PDE4B,UBD,VEGFA,VIM	132 (6)
DNMT3B	2.250	enzyme	 	0.447	 	4.81E-02	BATF3,CHFR,DNMT3B,EPDR1,MYL6B,NFATC3,PAX6,PRKCB	 
MCAM	 	other	 	 	 	3.40E-03	FN1,ID1,VIM	 
A-Fos	 	chemical reagent	 	 	 	3.13E-02	BATF3,CYTOR,IRF8	 
BMP7	 	growth factor	 	1.622	 	4.11E-02	CD44,CYP19A1,FN1,FZD7,ID1,ID2,VEGFA,VIM,WNT11	 
BMP6	 	growth factor	 	1.938	 	3.41E-02	CYP11A1,ID1,ID2,VEGFA	 
KAT2A	-1.100	enzyme	 	 	 	3.13E-02	E2F1,JUN,RHO	 
NONO	2.230	transcription regulator	 	 	 	4.78E-02	ACACA,PDE4B,PDE4D	 
AR	 	ligand-dependent nuclear receptor	 	1.915	 	3.87E-01	C4A/C4B,CDCA5,CUX1,KIF4A,let-7,mir-19,PDIA5,PIAS3,PIGR,PRKCA,THBS1,TMPRSS2,VEGFA	 
RAB7A	 	enzyme	 	 	 	4.14E-02	VIM	 
SNAI1	 	transcription regulator	 	1.802	 	1.93E-01	CUX1,CYP19A1,FLNB,FN1,HPGD,ID1,SLC27A2,VIM	 
NR3C1	 	ligand-dependent nuclear receptor	 	0.753	 	2.41E-02	BABAM2,BIRC2,CARD6,CDK11B,CIDEC,CYP19A1,CYP2C8,CYP2C9,CYP7A1,ELMOD3,FN1,GULP1,IGFBP1,PAK1,PAK2,PCK1,PDCD7,PDE4B,PIGR,PIK3CB,PPP2R1B,PRKACB,PRKCB,RRAGC,SGK1,SON,STOM,TRAF3	 
EPO	 	cytokine	 	1.342	bias	3.58E-02	AOC2,FABP1,FXN,JUN,LCP1,PRDM14,PRKCA,PRKCB,PTPRB,SON,VEGFA	 
EMSLR	 	other	 	 	 	4.14E-02	E2F1	 
SLC25A10	 	transporter	 	 	 	4.14E-02	ACACA	 
UBE2I	 	enzyme	 	1.067	 	1.85E-02	CPT1A,CXCL10,CYP11A1,SGK1	 
IL6	 	cytokine	 	0.046	bias	2.41E-02	ABCC2,APOB,CD44,CEACAM1,CRP,CXCL10,CYP19A1,CYP2B6,CYP2C8,CYP2C9,CYP2E1,E2F1,HBE1,HPGD,IGFBP1,IL22,JAK1,JAK2,JUN,let-7,MERTK,mir-19,RORA,SGK1,STOM,THBS1,TRAF3,VEGFA,VIM	 
PLCL1	 	enzyme	 	 	 	2.30E-02	E2F1,IGFBP1	 
CEBPZ	 	transcription regulator	 	 	 	4.14E-02	CRP	 
SMARCA4	 	transcription regulator	 	1.816	bias	3.80E-02	ACSL5,ASCC1,ATP2B4,CD44,CEACAM1,DYNC1H1,E2F1,ECM2,EHF,FLNB,FN1,GULP1,HBE1,HPGD,JUN,MEIS1,NRP2,OXCT1,PDE4B,PDK1,PDP1,PLIN2,POLB,SMARCA2,TFB1M,TNFRSF10C,TSPAN13,UBD,USP24,VIM	 
SIRT1/2 inhibitor VII	 	chemical reagent	 	 	 	4.14E-02	CYP19A1	 
P4HA1	 	enzyme	 	 	 	4.14E-02	AGO2	 
NFKBIA	 	transcription regulator	 	1.980	 	5.53E-01	ANKRD1,BIRC2,CXCL10,JUN,POLB,VEGFA	 
QKI	 	other	 	 	 	3.14E-02	mir-122,VIM	 
CORT	 	other	 	 	 	4.14E-02	SLC20A1	 
CAMLG	 	other	 	 	 	4.14E-02	GET1	 
PPP1CB	 	phosphatase	 	 	 	4.14E-02	E2F1	 
EFNA2	 	kinase	 	0.816	 	2.57E-02	BACH2,CUX1,NFIL3,SLC20A1,USP9Y,WWP1	 
CDKL2	 	kinase	 	 	 	4.14E-02	CD44	 
SRRM1	3.220	other	 	 	 	4.14E-02	CD44	 
COPS2	-1.340	other	 	 	 	4.14E-02	E2F1	 
SIK1/SIK1B	 	kinase	 	 	 	4.14E-02	CYP11A1	 
RANBP2	 	enzyme	 	 	 	4.14E-02	FN1	 
SRSF5	2.370	other	 	 	 	5.01E-03	AZIN1,VEGFA	 
KAT6B	-2.880	enzyme	 	 	 	4.14E-02	SMARCA2	 
PRR13	 	other	 	 	 	4.14E-02	THBS1	 
FMR1	 	translation regulator	 	 	 	4.14E-02	PIK3CB	 
PIK3C2A	-1.350	kinase	 	 	 	4.14E-02	VEGFA	 
TP53	-1.060	transcription regulator	 	1.004	 	1.81E-05	ABCB4,AGO2,AKAP12,APAF1,APOL1,BIRC2,BLZF1,CCNL1,CD44,CHUK,CITED2,CRYAB,CSF3R,CXCL10,CYP19A1,DNM1,DUT,E2F1,FXN,FZD7,GART,GLS2,GNL3,H19,ID1,ID2,JUN,LAMC1,LDHA,let-7,mir-19,mir-218,mir-28,mir-30 (includes others),mir-378,mir-506,mir-548,MOS,NDUFA4L2,NR2C1,NUP153,PANK1,PCK1,PDE4B,PDK1,PEG10,PLAUR,PNO1,POLB,PRKCA,PRKCB,PRKG1,PSMC1,RAD54B,RBL2,RPS27L,SLC16A1,SMURF1,SON,STOM,TBXAS1,TDG,THBS1,TNFRSF10C,UBD,UBE2D1,VEGFA,VIM,WWP1	119 (5)
MYC	1.060	transcription regulator	 	1.968	 	2.91E-04	ACACA,BCR,CD44,CDK11B,DKC1,DNMT3B,E2F1,FN1,GPC3,H19,HBE1,ID1,ID2,JUN,LDHA,let-7,mir-19,mir-30 (includes others),mir-378,NBN,PDK1,PEG10,PGK1,PHF21A,PIAS3,PLAUR,PNO1,PRKACB,RRS1,SLC16A1,SUMO3,THBS1,TXNIP,USP54,VEGFA,VIM,YTHDC1	119 (5)
SIAH1	 	enzyme	 	 	 	4.07E-02	DCC,EGLN3	 
ID4	 	transcription regulator	 	 	 	1.18E-02	E2F1,VEGFA,VIM	 
MEF2D	 	transcription regulator	 	 	 	2.22E-02	FN1,JUN,VIM	 
PCBP1	 	translation regulator	 	 	 	2.30E-02	CD44,HNRNPD	 
anti-miR-886-3p	 	chemical reagent	 	 	 	4.14E-02	FXN	 
oligomycin A	 	chemical - endogenous non-mammalian	 	 	 	4.14E-02	TXNIP	 
RECTAS	 	chemical reagent	 	 	 	4.14E-02	ELP1	 
nardostachys chinensis extract	 	chemical reagent	 	 	 	4.14E-02	PRKCB	 
thalidomide analog 1	 	chemical reagent	 	 	 	4.14E-02	VEGFA	 
thalidomide analog 2	 	chemical reagent	 	 	 	4.14E-02	VEGFA	 
3,4-dideoxyglucosone-3-ene	 	chemical - endogenous mammalian	 	 	 	4.14E-02	PRKCB	 
CDG2-cRGD-5	 	chemical reagent	 	 	 	4.14E-02	VEGFA	 
lithocholic acid acetate	 	chemical reagent	 	 	 	4.14E-02	CYP7A1	 
MALAT1	 	other	 	 	 	4.07E-02	VEGFA,VIM	 
intralipid	 	chemical drug	 	 	 	4.14E-02	APOB	 
ketone body	 	chemical - endogenous mammalian	 	 	 	4.14E-02	CYP2E1	 
dacarbazine	 	chemical drug	 	 	 	3.14E-02	CXCL10,VEGFA	 
pyrazole	 	chemical - endogenous non-mammalian	 	 	 	4.14E-02	CYP2E1	 
indirubin	 	chemical drug	 	0.000	 	3.58E-03	BIRC2,CYP19A1,IGFBP1,JUN	 
imatinib	 	chemical drug	 	-1.361	 	6.37E-03	ATP1B2,BCR,BIRC2,CITED2,DAB2,DHX15,FAIM,FN1,ID1,KAT7,MED15,NDUFA4L2,NDUFA6,PDCD7,PIK3CB,PLIN2,RRAS2,SLC20A1,SMC1A,SNRPF,SON,SRSF5	 
chlordane	 	chemical toxicant	 	 	 	4.14E-02	CYP19A1	 
chloroform	 	chemical toxicant	 	 	 	4.14E-02	CYP2E1	 
2,3-pentanedione	 	chemical - endogenous non-mammalian	 	 	 	4.14E-02	VEGFA	 
LG100268	 	chemical reagent	 	 	 	1.49E-02	BIRC2,CYP19A1,PLIN2	 
BMS-275183	 	chemical drug	 	 	 	4.14E-02	THBS1	 
niacinamide	 	chemical - endogenous mammalian	 	1.890	 	2.74E-02	CCNL1,CDK12,CDK13,CITED2,E2F1,RBL2,RUNX3	 
nitric oxide	 	chemical - endogenous mammalian	 	1.949	 	1.22E-02	APAF1,BIRC2,CD44,CXCL10,JUN,PRKG1,SGK1,THBS1,VEGFA	 
pyridine	 	chemical - endogenous mammalian	 	 	 	4.14E-02	CYP2E1	 
1,4-bis[2-(3,5-dichloropyridyloxy)]benzene	 	chemical toxicant	 	1.982	 	7.65E-04	ABCB4,CYP2B6,CYP2C9,CYP7A1	6 (2)
dimethyl fumarate	 	chemical drug	 	 	 	9.12E-03	JUN,VEGFA,VIM	 
dalfampridine	 	chemical drug	 	 	 	2.22E-02	APAF1,let-7,mir-30 (includes others)	 
rosiglitazone	 	chemical drug	 	1.634	 	7.50E-03	ACADVL,ACSL5,C4A/C4B,CPT1A,CRP,CXCL10,CYP19A1,CYP2B6,FABP1,FN1,HADHB,HPGD,IGFBP1,PPP2R1B,RORA,SGK1,THBS1,VEGFA	75 (6)
GW501516	 	chemical drug	 	 	 	2.12E-02	IGFBP1,PLIN2,THBS1,VEGFA	 
tanespimycin	 	chemical drug	 	-1.000	bias	1.69E-02	ACACA,AHSA1,CHUK,HNRNPM,JAK2,JUN,LDHA,SNRPF,STK38,VEGFA	 
isoniazid	 	chemical drug	 	 	 	4.14E-02	CYP2E1	 
metformin	 	chemical drug	 	-1.941	 	4.52E-02	ACACA,APOB,CRP,CYP19A1,CYP2B6,FN1,let-7,PLIN2,VEGFA	 
benomyl	 	chemical toxicant	 	 	 	4.14E-02	CYP19A1	 
bicalutamide	 	chemical drug	 	-1.172	bias	2.17E-02	DNMT3B,let-7,PIAS3,TMPRSS2,VIM	 
phenytoin	 	chemical drug	 	 	 	2.19E-03	CYP2B6,CYP2C9,FN1	8 (3)
docetaxel	 	chemical drug	 	-0.744	 	4.31E-02	BIRC2,CXCL10,E2F1,let-7,mir-28,mir-30 (includes others),PRKCA,THBS1,VEGFA	 
pioglitazone	 	chemical drug	 	-0.588	 	6.41E-03	CITED2,CXCL10,CYP19A1,CYP2B6,CYP7A1,FN1,HPGD,PLIN2,RORA,STAT5B	 
molsidomine	 	chemical drug	 	 	 	4.14E-02	FXN	 
tetrachlorodibenzodioxin	 	chemical toxicant	 	0.244	 	3.50E-02	ARNT2,BACH2,CYP19A1,E2F1,IGFBP1,JAK2,JUN,VEGFA	 
dinophysistoxin 1	 	chemical toxicant	 	 	 	4.14E-02	CEACAM1	 
methylselenic acid	 	chemical reagent	 	 	 	4.94E-02	BIRC2,CD44,CDKL1,E2F1,FN1,ID1,ID2,JAK1,JUN,MAP2K5,NCOA1,NFIL3,PRKCA,SGK1,TMPRSS2,VEGFA	 
ketoconazole	 	chemical drug	 	 	 	3.64E-02	ABCC2,CYP2B6,CYP2C9	 
GW3965	 	chemical reagent	 	0.245	 	4.84E-03	CIDEC,CRP,CXCL10,CYP11A1,PLIN2,PRKAR2B,VEGFA	 
PD173955	 	chemical - kinase inhibitor	 	 	 	4.14E-02	PLAUR	 
avasimibe	 	chemical drug	 	 	 	1.72E-03	CYP2B6,CYP2C9	 
amiloride	 	chemical drug	 	 	 	1.58E-02	APAF1,PLAUR	 
eprosartan	 	chemical drug	 	 	 	4.14E-02	ABCC2	 
(-)-isoproterenol	 	chemical drug	 	 	 	9.74E-03	CD44,PDE4D	 
sphingosine-1-phosphate	 	chemical - endogenous mammalian	 	1.489	bias	3.49E-02	CD44,CXCL10,FN1,NRP2,THBS1,VIM	 
calcitriol	 	chemical drug	 	1.826	 	3.87E-03	AKAP12,ATP2B4,CPT1A,CTLA4,CXCL10,CYP19A1,CYP2B6,CYP2C9,CYP7A1,EHF,FIS1,FN1,HPGD,ID1,ID2,JUN,KL,OXCT1,OXR1,PDE4D,PRKCA,PRKCB,PTCD3,SERPINB1,SLC16A1,THBS1,TXNIP,VEGFA,WNT11	77 (5)
retinoid	 	chemical drug	 	-0.152	 	9.60E-03	CEACAM1,E2F1,TRAF3,UBD,VEGFA	 
seocalcitol	 	chemical drug	 	0.896	bias	2.78E-02	ANKRD1,CEACAM1,E2F1,SGK1,TMPRSS2,VEGFA	 
largazole	 	chemical - endogenous non-mammalian	 	 	 	6.84E-03	ACSL5,PDK1,VEGFA	 
mirtazapine	 	chemical drug	 	 	 	1.18E-02	CYP2C9,CYP2E1,IL22	 
carmustine	 	chemical drug	 	 	 	4.07E-02	E2F1,ID1	 
roflumilast	 	chemical drug	 	 	 	4.14E-02	PDE4B	 
fadrozole	 	chemical drug	 	 	 	4.14E-02	CYP19A1	 
carbon tetrachloride	 	chemical toxicant	 	 	 	2.30E-02	APOB,CYP2E1	 
isradipine	 	chemical drug	 	 	 	5.01E-03	CYP2B6,CYP2C9	7 (2)
nicardipine	 	chemical drug	 	 	 	1.58E-02	CYP2B6,CYP2C9	 
nifedipine	 	chemical drug	 	0.277	 	2.17E-02	CYP2B6,CYP2C9,FN1,SGK1,VEGFA	 
resveratrol	 	chemical drug	 	1.755	 	8.81E-02	APAF1,CHUK,CPT1A,CXCL10,CYP11A1,CYP19A1,CYP2E1,CYP7A1,E2F1,FN1,FXN,IGFBP1,JUN,SARM1	 
ezetimibe	 	chemical drug	 	 	 	4.14E-02	APOB	 
bisphenol A	 	chemical - endogenous mammalian	 	-1.941	 	1.08E-01	APOB,ARNT2,CITED2,CYP19A1,PAX6	 
cobalt chloride	 	chemical reagent	 	1.747	bias	1.28E-02	APAF1,E2F1,PGK1,PLAUR,PLIN2,SORL1,VEGFA	 
nickel chloride	 	chemical toxicant	 	 	 	1.18E-02	DNMT3B,JUN,VEGFA	 
BMP type I receptor kinase inhibitor compound A	 	chemical - kinase inhibitor	 	 	 	3.14E-02	PRG4,VEGFA	 
