© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Natural Killer Cell Signaling	4.47E-01	2.75E-02	-0.447	JAK2,MAP3K1,MAP3K13,PAK3,RASD2	
Synaptic Long Term Depression	4.47E-01	2.75E-02	NaN	ITPR1,ITPR2,PLAAT1,PTPA,RASD2	
Endothelin-1 Signaling	4.47E-01	2.75E-02	NaN	ITPR1,ITPR2,MYC,PLAAT1,RASD2	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	4.37E-01	2.72E-02	1.342	IFNGR2,JAK2,MAP3K1,MAP3K13,PTPA	
Glutathione Redox Reactions I	4.34E-01	4.76E-02	NaN	GSTM2	
NAD Salvage Pathway II	4.34E-01	4.76E-02	NaN	ACP1	
Cysteine Biosynthesis III (mammalia)	4.34E-01	4.76E-02	NaN	MAT1A	
Endocannabinoid Cancer Inhibition Pathway	4.34E-01	2.82E-02	1.000	MYC,NSMAF,PDGFC,ROCK2	
PCP pathway	4.28E-01	3.33E-02	NaN	ROCK2,SMO	
Sumoylation Pathway	4.28E-01	2.97E-02	NaN	ARHGDIB,PML,TP53	
Virus Entry via Endocytic Pathways	4.23E-01	2.94E-02	NaN	AP1S2,ITGA5,RASD2	
FAK Signaling	4.23E-01	2.94E-02	NaN	ITGA5,PAK3,RASD2	
PPAR Signaling	4.23E-01	2.94E-02	NaN	PDGFC,RASD2,RXRA	
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	4.23E-01	2.67E-02	-0.447	ERBB2,JAK2,MAP3K1,PDGFC,RASD2	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	4.2E-01	3.28E-02	NaN	IFNA16,PLAC8	
Dopamine Degradation	4.19E-01	4.55E-02	NaN	ALDH1A1	
Factors Promoting Cardiogenesis in Vertebrates	4.18E-01	2.76E-02	-1.000	DKK1,MYC,ROCK2,SMO	
Sertoli Cell-Sertoli Cell Junction Signaling	4.17E-01	2.66E-02	NaN	EPN2,ITGA5,MAP3K1,MAP3K13,RASD2	
T Cell Receptor Signaling	4.16E-01	2.91E-02	NaN	MAP3K1,RASD2,RASGRP1	
Necroptosis Signaling Pathway	4.07E-01	2.72E-02	-2.000	BIRC3,SLC25A3,TP53,TRPM7	
Huntington's Disease Signaling	4.06E-01	2.56E-02	-0.447	BCL2L1,DLG4,GNG11,ITPR1,SGK1,TP53	
Clathrin-mediated Endocytosis Signaling	4.02E-01	2.62E-02	NaN	AP1S2,ARRB2,ITGA5,PDGFC,SH3GL1	
Paxillin Signaling	4.02E-01	2.86E-02	NaN	ITGA5,PAK3,RASD2	
IL-17A Signaling in Airway Cells	3.95E-01	3.12E-02	NaN	CCL20,JAK2	
CDK5 Signaling	3.89E-01	2.8E-02	NaN	LAMB1,PTPA,RASD2	
Tumoricidal Function of Hepatic Natural Killer Cells	3.89E-01	4.17E-02	NaN	LYVE1	
Glycolysis I	3.89E-01	4.17E-02	NaN	ENO4	
Cell Cycle: G1/S Checkpoint Regulation	3.86E-01	3.08E-02	NaN	MYC,TP53	
eNOS Signaling	3.85E-01	2.65E-02	NaN	AQP12A/AQP12B,ITPR1,ITPR2,PDGFC	
Glioma Signaling	3.78E-01	2.75E-02	NaN	PDGFC,RASD2,TP53	
Neuroprotective Role of THOP1 in Alzheimer's Disease	3.78E-01	2.75E-02	NaN	PRSS27,ST14,TAC1	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	3.76E-01	4E-02	NaN	PIP4K2A	
HOTAIR Regulatory Pathway	3.76E-01	2.61E-02	-2.000	AGO2,ERBB2,MYC,ROCK2	
Th1 Pathway	3.72E-01	2.73E-02	NaN	IFNGR2,JAK2,LGALS9	
Role of JAK1 and JAK3 in γc Cytokine Signaling	3.71E-01	2.99E-02	NaN	JAK2,RASD2	
CD28 Signaling in T Helper Cells	3.66E-01	2.7E-02	NaN	ITPR1,ITPR2,MAP3K1	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	3.66E-01	2.7E-02	NaN	GNG11,ITPR1,ITPR2	
Phospholipase C Signaling	3.65E-01	2.46E-02	NaN	ARHGEF2,GNG11,ITGA5,ITPR1,ITPR2,RASD2	
B Cell Development	3.64E-01	3.85E-02	NaN	IGLC1	
Estrogen-mediated S-phase Entry	3.64E-01	3.85E-02	NaN	MYC	
HIF1α Signaling	3.59E-01	2.49E-02	-0.447	LDHB,MKNK2,PDGFC,RASD2,TP53	
HMGB1 Signaling	3.57E-01	2.55E-02	NaN	CXCL8,IFNGR2,KAT2A,RASD2	
p38 MAPK Signaling	3.55E-01	2.65E-02	NaN	MKNK2,MYC,TP53	
Dopamine-DARPP32 Feedback in cAMP Signaling	3.52E-01	2.53E-02	-2.000	GRIN2D,ITPR1,ITPR2,PTPA	
Axonal Guidance Signaling	3.5E-01	2.32E-02	NaN	ADAMTS9,ERBB2,GNG11,ITGA5,PAK3,PDGFC,RASD2,ROCK2,SEMA3A,SLIT2,SMO	
Basal Cell Carcinoma Signaling	3.49E-01	2.86E-02	NaN	SMO,TP53	
Signaling by Rho Family GTPases	3.46E-01	2.41E-02	-1.342	ARHGEF2,GNG11,IQGAP1,ITGA5,PAK3,ROCK2	
Role of PKR in Interferon Induction and Antiviral Response	3.44E-01	2.61E-02	NaN	IFNGR2,PDGFC,TP53	
Endocannabinoid Developing Neuron Pathway	3.44E-01	2.61E-02	NaN	BRCA1,GNG11,RASD2	
Caveolar-mediated Endocytosis Signaling	3.42E-01	2.82E-02	NaN	FLOT2,ITGA5	
Growth Hormone Signaling	3.42E-01	2.82E-02	NaN	JAK2,SOCS6	
Glioma Invasiveness Signaling	3.42E-01	2.82E-02	NaN	RASD2,TIMP1	
Superpathway of Cholesterol Biosynthesis	3.4E-01	3.57E-02	NaN	SQLE	
Role of p14/p19ARF in Tumor Suppression	3.4E-01	3.57E-02	NaN	TP53	
Systemic Lupus Erythematosus Signaling	3.38E-01	2.43E-02	NaN	C8B,C9,IFNA16,RASD2,SNRPD1	
Regulation of Cellular Mechanics by Calpain Protease	3.35E-01	2.78E-02	NaN	ITGA5,RASD2	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	3.35E-01	2.78E-02	NaN	ITPR1,ITPR2	
Tec Kinase Signaling	3.33E-01	2.47E-02	NaN	GNG11,ITGA5,JAK2,PAK3	
Breast Cancer Regulation by Stathmin1	3.31E-01	2.27E-02	-1.387	ADGRL4,ARHGEF2,C5AR1,CXCR1,F2RL2,GNG11,HTR2B,mir-101,PDGFC,PTPA,RASD2,SMO,TP53	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	3.31E-01	2.4E-02	-0.447	ELF1,ITPR1,PTPA,RASD2,ROCK2	
Noradrenaline and Adrenaline Degradation	3.29E-01	3.45E-02	NaN	ALDH1A1	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	3.28E-01	2.74E-02	NaN	IFNA16,SMO	
Phagosome Formation	3.22E-01	2.52E-02	NaN	C5AR1,ITGA5,TLR8	
Angiopoietin Signaling	3.21E-01	2.7E-02	NaN	PAK3,RASD2	
Antiproliferative Role of Somatostatin Receptor 2	3.21E-01	2.7E-02	NaN	GNG11,RASD2	
Communication between Innate and Adaptive Immune Cells	3.15E-01	2.67E-02	NaN	CXCL8,TLR8	
Sperm Motility	3.15E-01	2.36E-02	NaN	ERBB2,ITPR1,ITPR2,JAK2,PLAAT1	
Reelin Signaling in Neurons	3.12E-01	2.48E-02	NaN	ARHGEF2,GRIN2D,ITGA5	
VDR/RXR Activation	3.09E-01	2.63E-02	NaN	IGFBP1,RXRA	
NF-κB Activation by Viruses	3.09E-01	2.63E-02	NaN	MAP3K1,RASD2	
Chemokine Signaling	3.09E-01	2.63E-02	NaN	RASD2,ROCK2	
Retinoate Biosynthesis I	3.08E-01	3.23E-02	NaN	ALDH1A1	
Synaptogenesis Signaling Pathway	3.05E-01	2.28E-02	-2.236	DLG4,GRIN2D,ITPR1,NAP1L1,RASD2,RASGRP1,SYT2	
Role of MAPK Signaling in the Pathogenesis of Influenza	3.03E-01	2.6E-02	NaN	PLAAT1,RASD2	
Inhibition of Angiogenesis by TSP1	2.98E-01	3.12E-02	NaN	TP53	
MIF-mediated Glucocorticoid Regulation	2.98E-01	3.12E-02	NaN	LY96	
Renal Cell Carcinoma Signaling	2.98E-01	2.56E-02	NaN	PAK3,RASD2	
14-3-3-mediated Signaling	2.94E-01	2.4E-02	NaN	RASD2,SFN,STRADA	
P2Y Purigenic Receptor Signaling Pathway	2.94E-01	2.4E-02	NaN	GNG11,MYC,RASD2	
IL-6 Signaling	2.94E-01	2.4E-02	NaN	CXCL8,JAK2,RASD2	
IL-3 Signaling	2.92E-01	2.53E-02	NaN	JAK2,RASD2	
Circadian Rhythm Signaling	2.89E-01	3.03E-02	NaN	GRIN2D	
Antiproliferative Role of TOB in T Cell Signaling	2.89E-01	3.03E-02	NaN	TWSG1	
Cyclins and Cell Cycle Regulation	2.86E-01	2.5E-02	NaN	PTPA,TP53	
Endocannabinoid Neuronal Synapse Pathway	2.85E-01	2.36E-02	NaN	GNG11,GRIN2D,ITPR1	
Superpathway of Methionine Degradation	2.81E-01	2.94E-02	NaN	MAT1A	
IL-4 Signaling	2.8E-01	2.47E-02	NaN	JAK2,RASD2	
Autoimmune Thyroid Disease Signaling	2.72E-01	2.86E-02	NaN	CGA	
Nucleotide Excision Repair Pathway	2.72E-01	2.86E-02	NaN	ERCC8	
Cdc42 Signaling	2.72E-01	2.31E-02	NaN	IQGAP1,ITGA5,PAK3	
B Cell Receptor Signaling	2.69E-01	2.25E-02	NaN	BCL2L1,MAP3K1,MAP3K13,RASD2	
BMP signaling pathway	2.69E-01	2.41E-02	NaN	RASD2,SMAD7	
Th17 Activation Pathway	2.69E-01	2.41E-02	NaN	CCL20,JAK2	
Adipogenesis pathway	2.68E-01	2.29E-02	NaN	KAT2A,SMO,TP53	
PPARα/RXRα Activation	2.66E-01	2.23E-02	NaN	ADIPOR2,JAK2,RASD2,RXRA	
FGF Signaling	2.64E-01	2.38E-02	NaN	ITPR1,MAP3K1	
Human Embryonic Stem Cell Pluripotency	2.64E-01	2.27E-02	NaN	PDGFC,SMAD7,SMO	
PI3K Signaling in B Lymphocytes	2.6E-01	2.26E-02	NaN	ITPR1,ITPR2,RASD2	
Cell Cycle Regulation by BTG Family Proteins	2.56E-01	2.7E-02	NaN	PTPA	
Retinol Biosynthesis	2.56E-01	2.7E-02	NaN	DAGLB	
PTEN Signaling	2.52E-01	2.22E-02	NaN	BCL2L1,ITGA5,RASD2	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	2.49E-01	2.3E-02	NaN	MAP3K1,RASD2	
Docosahexaenoic Acid (DHA) Signaling	2.49E-01	2.63E-02	NaN	BCL2L1	
Triacylglycerol Degradation	2.49E-01	2.63E-02	NaN	DAGLB	
Inhibition of Matrix Metalloproteases	2.49E-01	2.63E-02	NaN	TIMP1	
Insulin Receptor Signaling	2.48E-01	2.21E-02	NaN	JAK2,RASD2,SGK1	
Prostate Cancer Signaling	2.4E-01	2.25E-02	NaN	RASD2,TP53	
Death Receptor Signaling	2.35E-01	2.22E-02	NaN	ARHGDIB,BIRC3	
Mechanisms of Viral Exit from Host Cells	2.34E-01	2.5E-02	NaN	SH3GL1	
April Mediated Signaling	2.34E-01	2.5E-02	NaN	MAP3K1	
Role of IL-17F in Allergic Inflammatory Airway Diseases	2.34E-01	2.5E-02	NaN	CXCL8	
B Cell Activating Factor Signaling	2.28E-01	2.44E-02	NaN	MAP3K1	
Serotonin Receptor Signaling	2.28E-01	2.44E-02	NaN	HTR2B	
IL-1 Signaling	2.26E-01	2.17E-02	NaN	GNG11,MAP3K1	
Role of RIG1-like Receptors in Antiviral Innate Immunity	2.22E-01	2.38E-02	NaN	IFNA16	
IL-23 Signaling Pathway	2.09E-01	2.27E-02	NaN	JAK2	
FAT10 Cancer Signaling Pathway	1.98E-01	2.17E-02	NaN	TP53	
PFKFB4 Signaling Pathway	1.98E-01	2.17E-02	NaN	TP53	
Leukocyte Extravasation Signaling	-0E00	1.59E-02	NaN	RASGRP1,ROCK2,TIMP1	
Fc Epsilon RI Signaling	-0E00	8.77E-03	NaN	RASD2	
Mitochondrial Dysfunction	-0E00	6.21E-03	NaN	COX8A	
FXR/RXR Activation	-0E00	1.64E-02	NaN	C9,RXRA	
Tight Junction Signaling	-0E00	1.8E-02	NaN	ARHGEF2,F2RL2,PTPA	
Regulation of Actin-based Motility by Rho	-0E00	2.08E-02	NaN	ITGA5,PAK3	
Activation of IRF by Cytosolic Pattern Recognition Receptors	-0E00	1.64E-02	NaN	IFNA16	
IL-12 Signaling and Production in Macrophages	-0E00	1.54E-02	NaN	IFNA16,RXRA	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0E00	2.08E-02	NaN	C5AR1,CXCL8,TLR8	
FcγRIIB Signaling in B Lymphocytes	-0E00	1.33E-02	NaN	RASD2	
LPS-stimulated MAPK Signaling	-0E00	1.2E-02	NaN	RASD2	
CCR5 Signaling in Macrophages	-0E00	1.16E-02	NaN	GNG11	
Lymphotoxin β Receptor Signaling	-0E00	1.89E-02	NaN	BCL2L1	
Airway Pathology in Chronic Obstructive Pulmonary Disease	-0E00	1.77E-02	NaN	CCL20,CXCL8	
IL-15 Production	-0E00	1.69E-02	NaN	ERBB2,JAK2	
T Helper Cell Differentiation	-0E00	1.56E-02	NaN	IFNGR2	
Dendritic Cell Maturation	-0E00	6.13E-03	NaN	JAK2	
Cellular Effects of Sildenafil (Viagra)	-0E00	1.59E-02	NaN	ITPR1,ITPR2	
Relaxin Signaling	-0E00	6.8E-03	NaN	GNG11	
Cardiac Hypertrophy Signaling	-0E00	2.14E-02	0.000	GNG11,MAP3K1,MAP3K13,RASD2,ROCK2	
iCOS-iCOSL Signaling in T Helper Cells	-0E00	1.98E-02	NaN	ITPR1,ITPR2	
Corticotropin Releasing Hormone Signaling	-0E00	2.14E-02	NaN	ITPR1,ITPR2,SMO	
Mitotic Roles of Polo-Like Kinase	-0E00	1.59E-02	NaN	PTPA	
Maturity Onset Diabetes of Young (MODY) Signaling	-0E00	1.69E-02	NaN	FABP2	
FLT3 Signaling in Hematopoietic Progenitor Cells	-0E00	1.27E-02	NaN	RASD2	
Melanocyte Development and Pigmentation Signaling	-0E00	1.06E-02	NaN	RASD2	
Androgen Signaling	-0E00	1.48E-02	NaN	GNG11,TAF2	
CREB Signaling in Neurons	-0E00	1.89E-02	-1.897	ADGRL4,C5AR1,CXCR1,F2RL2,GNG11,GRIN2D,HTR2B,ITPR1,ITPR2,RASD2,SMO	
G Beta Gamma Signaling	-0E00	1.64E-02	NaN	GNG11,RASD2	
Sphingosine-1-phosphate Signaling	-0E00	8.77E-03	NaN	PDGFC	
ILK Signaling	-0E00	1.62E-02	NaN	MYC,PDGFC,PTPA	
AMPK Signaling	-0E00	1.42E-02	NaN	PPM1B,PTPA,STRADA	
RhoA Signaling	-0E00	8.26E-03	NaN	ROCK2	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	-0E00	1.88E-02	NaN	BIRC3,DKK1,ITGA5,SMO	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	1.28E-02	NaN	TLR8	
Protein Kinase A Signaling	-0E00	2.08E-02	-0.707	ACP1,GNG11,ITPR1,ITPR2,MAP3K1,ROCK2,SFN,SMO	
Estrogen-Dependent Breast Cancer Signaling	-0E00	1.37E-02	NaN	RASD2	
Leptin Signaling in Obesity	-0E00	1.39E-02	NaN	JAK2	
Nur77 Signaling in T Lymphocytes	-0E00	1.67E-02	NaN	RXRA	
PKCθ Signaling in T Lymphocytes	-0E00	2.07E-02	NaN	MAP3K1,MAP3K13,RASD2	
MSP-RON Signaling Pathway	-0E00	1.72E-02	NaN	JAK2	
OX40 Signaling Pathway	-0E00	2.08E-02	NaN	BCL2L1	
Gap Junction Signaling	-0E00	2.09E-02	NaN	HTR2B,ITPR1,ITPR2,RASD2	
VEGF Family Ligand-Receptor Interactions	-0E00	1.22E-02	NaN	RASD2	
Ephrin A Signaling	-0E00	2.13E-02	NaN	ROCK2	
ErbB4 Signaling	-0E00	1.52E-02	NaN	RASD2	
D-myo-inositol-5-phosphate Metabolism	-0E00	1.99E-02	NaN	ACP1,PIP4K2A,PTPA	
Phospholipases	-0E00	1.67E-02	NaN	PLAAT1	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	1.47E-02	NaN	ACP1,PTPA	
Superpathway of Inositol Phosphate Compounds	-0E00	1.56E-02	NaN	ACP1,PIP4K2A,PTPA	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	1.47E-02	NaN	ACP1,PTPA	
3-phosphoinositide Degradation	-0E00	2E-02	NaN	ACP1,INPP4A,PTPA	
3-phosphoinositide Biosynthesis	-0E00	1.25E-02	NaN	ACP1,PTPA	
Antioxidant Action of Vitamin C	-0E00	1.94E-02	NaN	JAK2,PLAAT1	
Epithelial Adherens Junction Signaling	-0E00	2.01E-02	NaN	EPN2,IQGAP1,RASD2	
Gαi Signaling	-0E00	1.61E-02	NaN	GNG11,RASD2	
Gαs Signaling	-0E00	9.43E-03	NaN	GNG11	
Remodeling of Epithelial Adherens Junctions	-0E00	1.56E-02	NaN	IQGAP1	
Granulocyte Adhesion and Diapedesis	-0E00	1.94E-02	NaN	C5AR1,CCL20,CXCL8	
Regulation of the Epithelial-Mesenchymal Transition Pathway	-0E00	2.11E-02	NaN	JAK2,PYGO2,RASD2,SMO	
UVB-Induced MAPK Signaling	-0E00	1.96E-02	NaN	TP53	
Oxidative Phosphorylation	-0E00	1E-02	NaN	COX8A	
Unfolded protein response	-0E00	1.85E-02	NaN	AMFR	
Wnt/Ca+ pathway	-0E00	1.64E-02	NaN	SMO	
Cardiac β-adrenergic Signaling	-0E00	1.43E-02	NaN	GNG11,PTPA	
IL-2 Signaling	-0E00	1.64E-02	NaN	RASD2	
GABA Receptor Signaling	-0E00	2.13E-02	NaN	GABRR3,GPHN	
Phototransduction Pathway	-0E00	1.96E-02	NaN	SAG	
Neurotrophin/TRK Signaling	-0E00	1.32E-02	NaN	RASD2	
Integrin Signaling	-0E00	1.47E-02	NaN	ITGA5,PAK3,RASD2	
Dopamine Receptor Signaling	-0E00	1.33E-02	NaN	PTPA	
cAMP-mediated signaling	-0E00	4.46E-03	NaN	GRK4	
TGF-β Signaling	-0E00	2.08E-02	NaN	RASD2,SMAD7	
NF-κB Signaling	-0E00	1.75E-02	NaN	MAP3K1,RASD2,TLR8	
Hypoxia Signaling in the Cardiovascular System	-0E00	1.39E-02	NaN	TP53	
G-Protein Coupled Receptor Signaling	-0E00	1.48E-02	NaN	GRK4,HTR2B,RASD2,RASGRP1	
Gustation Pathway	-0E00	2.03E-02	NaN	GNG11,ITPR1,ITPR2	
Phagosome Maturation	-0E00	7.25E-03	NaN	CTSS	
Th1 and Th2 Activation Pathway	-0E00	1.87E-02	NaN	IFNGR2,JAK2,LGALS9	
Th2 Pathway	-0E00	7.87E-03	NaN	JAK2	
IL-7 Signaling Pathway	-0E00	1.43E-02	NaN	MYC	
Adrenomedullin signaling pathway	-0E00	2.08E-02	NaN	ITPR1,ITPR2,RASD2,RXRA	
Apelin Adipocyte Signaling Pathway	-0E00	1.28E-02	NaN	GSTM2	
Apelin Cardiomyocyte Signaling Pathway	-0E00	1.02E-02	NaN	ITPR1	
Apelin Endothelial Signaling Pathway	-0E00	8.85E-03	NaN	RASD2	
White Adipose Tissue Browning Pathway	-0E00	1.56E-02	NaN	LDHB,RXRA	
Calcium Signaling	-0E00	2.04E-02	NaN	GRIN2D,ITPR1,ITPR2,RCAN1	
Eicosanoid Signaling	-0E00	1.61E-02	NaN	PLAAT1	
