© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
ErbB4 Signaling	8.76E-01	7.58E-02	1.342	GRB2,PIK3CB,PRKCA,PRKCB,RRAS2	
Telomerase Signaling	8.73E-01	6.73E-02	1.342	DKC1,E2F1,GRB2,PIK3CB,POT1,PPP2R1B,RRAS2	
Cardiac Hypertrophy Signaling (Enhanced)	8.7E-01	5.19E-02	2.041	CHUK,DIAPH1,EP300,FGF11,FZD7,IL13RA1,ITPR3,JAK2,JUN,MAP2K5,NFATC3,PDE4B,PDE4D,PDK1,PIK3CB,PLCL2,PPP3CB,PRKACB,PRKAR2B,PRKCA,PRKCB,PRKG1,RPS6KA5,RRAS2,WNT11	
CXCR4 Signaling	8.66E-01	6.1E-02	1.667	GNAT2,ITPR3,JUN,MYL6B,PAK1,PAK2,PIK3CB,PRKCA,PRKCB,RRAS2	
Glutaryl-CoA Degradation	8.6E-01	1.25E-01	NaN	HADHA,HADHB	
Isoleucine Degradation I	8.6E-01	1.25E-01	NaN	HADHA,HADHB	
14-3-3-mediated Signaling	8.51E-01	6.4E-02	2.121	GRB2,JUN,PIK3CB,PLCL2,PRKCA,PRKCB,RRAS2,VIM	
4-1BB Signaling in T Lymphocytes	8.48E-01	9.38E-02	NaN	CHUK,ELP1,JUN	
Inhibition of Angiogenesis by TSP1	8.48E-01	9.38E-02	NaN	JUN,THBS1,VEGFA	
Ephrin Receptor Signaling	8.48E-01	5.91E-02	1.897	ARHGEF15,ARPC2,ARPC5L,CREB3L3,GNAT2,GRB2,JAK2,PAK1,PAK2,RRAS2,VEGFA	
Cellular Effects of Sildenafil (Viagra)	8.36E-01	6.35E-02	NaN	ITPR3,MYL6B,PDE4B,PDE4D,PLCL2,PRKACB,PRKAR2B,PRKG1	
RANK Signaling in Osteoclasts	8.36E-01	6.9E-02	1.342	BIRC2,CHUK,ELP1,JUN,PIK3CB,PPP3CB	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	8.33E-01	5.77E-02	0.577	CD28,CD44,CREB3L3,GRB2,HLA-DPA1,JUN,MAP2K5,PDK1,PIK3CB,PPP2R1B,PPP3CB,RRAS2	
Tight Junction Signaling	8.3E-01	5.99E-02	NaN	CLDN17,EPB41,GOSR2,JUN,MYL6B,PPP2R1B,PRKACB,PRKAR2B,SMURF1,SPTAN1	
Myc Mediated Apoptosis Signaling	8.3E-01	8E-02	0.000	APAF1,CHUK,PRKACB,PRKAR2B	
IL-9 Signaling	8.21E-01	9.09E-02	NaN	JAK1,PIK3CB,STAT5B	
Acute Myeloid Leukemia Signaling	8.18E-01	6.82E-02	1.633	CSF3R,GRB2,MAP2K5,PIK3CB,RRAS2,STAT5B	
Pancreatic Adenocarcinoma Signaling	8.12E-01	6.48E-02	1.633	CYP2E1,E2F1,GRB2,JAK1,JAK2,PIK3CB,VEGFA	
Phenylethylamine Degradation I	8.12E-01	2.5E-01	NaN	AOC2	
Molybdenum Cofactor Biosynthesis	8.12E-01	2.5E-01	NaN	MOCS3	
p70S6K Signaling	8.1E-01	6.25E-02	1.414	GRB2,JAK1,PIK3CB,PLCL2,PPP2R1B,PRKCA,PRKCB,RRAS2	
UVC-Induced MAPK Signaling	8.1E-01	7.84E-02	1.000	JUN,PRKCA,PRKCB,RRAS2	
Regulation of the Epithelial-Mesenchymal Transition Pathway	8.04E-01	5.79E-02	NaN	FGF11,FZD7,GRB2,ID2,JAK1,JAK2,MAP2K5,PIK3CB,RRAS2,SMURF1,WNT11	
Prostate Cancer Signaling	8.01E-01	6.74E-02	NaN	CHUK,CREB3L3,E2F1,GRB2,PIK3CB,RRAS2	
AMPK Signaling	8.01E-01	5.69E-02	0.333	ACACA,ARID1A,CPT1A,CREB3L3,EP300,HLTF,PIK3CB,PPP2R1B,PRKACB,PRKAR2B,SMARCA2,TBC1D1	
IL-7 Signaling Pathway	7.99E-01	7.14E-02	1.342	GRB2,JAK1,JUN,PIK3CB,STAT5B	
Death Receptor Signaling	7.88E-01	6.67E-02	2.236	APAF1,BIRC2,CHUK,ELP1,PARP11,SPTAN1	
Sirtuin Signaling Pathway	7.8E-01	5.42E-02	-0.632	ATG16L1,CPT1A,E2F1,GTF3C2,HMGCS2,JUN,LDHA,NBN,NDUFA4L2,NDUFA6,PCK1,PDK1,PGK1,TIMM13,TIMM23B	
Axonal Guidance Signaling	7.77E-01	5.06E-02	NaN	AFG3L2,ARHGEF15,ARPC2,ARPC5L,DCC,FZD7,GNAT2,GRB2,KLC1,MYL6B,NFATC3,NRP2,PAK1,PAK2,PIK3CB,PLCL2,PPP3CB,PRKACB,PRKAR2B,PRKCA,PRKCB,RRAS2,VEGFA,WNT11	
eNOS Signaling	7.77E-01	5.96E-02	0.378	CNGA1,ITPR3,PIK3CB,PRKACB,PRKAR2B,PRKCA,PRKCB,PRKG1,VEGFA	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	7.77E-01	1.11E-01	NaN	INPP5A,SEC16A	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	7.77E-01	1.11E-01	NaN	INPP5A,SEC16A	
IL-1 Signaling	7.57E-01	6.52E-02	1.000	CHUK,ELP1,GNAT2,JUN,PRKACB,PRKAR2B	
Aldosterone Signaling in Epithelial Cells	7.54E-01	5.88E-02	0.816	CRYAB,DNAJC2,DNAJC5B,ITPR3,PIK3CB,PLCL2,PRKCA,PRKCB,SGK1	
Tumor Microenvironment Pathway	7.52E-01	5.75E-02	1.897	CD44,CTLA4,FGF11,FN1,JAK2,JUN,PIK3CB,RRAS2,SLC16A1,VEGFA	
MSP-RON Signaling In Cancer Cells Pathway	7.47E-01	6.02E-02	2.828	CREB3L3,GRB2,JUN,PIK3CB,PLAUR,RRAS2,VEGFA,VIM	
Xenobiotic Metabolism Signaling	7.42E-01	5.38E-02	NaN	ABCC2,CITED2,CYP2B6,CYP2C8,CYP2C9,EP300,MAP2K5,NCOA1,PIK3CB,PPP2R1B,PRKCA,PRKCB,RRAS2,UGT2B10	
Valine Degradation I	7.4E-01	1.05E-01	NaN	HADHA,HADHB	
Methionine Degradation I (to Homocysteine)	7.4E-01	1.05E-01	NaN	MAT2B,PRMT8	
Interferon Signaling	7.4E-01	8.33E-02	NaN	IFNAR2,JAK1,JAK2	
Acute Phase Response Signaling	7.3E-01	5.68E-02	2.121	C4A/C4B,CHUK,CRP,ELP1,FN1,GRB2,JAK2,JUN,PIK3CB,RRAS2	
α-Adrenergic Signaling	7.26E-01	6.38E-02	0.000	ITPR3,PRKACB,PRKAR2B,PRKCA,PRKCB,RRAS2	
Pyruvate Fermentation to Lactate	7.24E-01	2E-01	NaN	LDHA	
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate	7.24E-01	2E-01	NaN	GART	
Tetrapyrrole Biosynthesis II	7.24E-01	2E-01	NaN	HMBS	
α-tocopherol Degradation	7.24E-01	2E-01	NaN	CYP4A11	
Myo-inositol Biosynthesis	7.24E-01	2E-01	NaN	BPNT2	
Endocannabinoid Developing Neuron Pathway	7.17E-01	6.09E-02	1.342	CREB3L3,MAP2K5,PAX6,PIK3CB,PRKACB,PRKAR2B,RRAS2	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	7.17E-01	5.32E-02	1.941	GRB2,IFNAR2,JAK1,JAK2,JUN,mir-30 (includes others),NFATC3,PIK3AP1,PIK3CB,PPP3CB,PRKCA,PRKCB,RRAS2,TRAF3	
IL-15 Signaling	7.14E-01	6.67E-02	1.342	JAK1,JAK2,PIK3CB,RRAS2,STAT5B	
Insulin Receptor Signaling	7.1E-01	5.88E-02	1.414	GRB2,JAK1,JAK2,PIK3CB,PRKACB,PRKAR2B,RRAS2,SGK1	
Cholecystokinin/Gastrin-mediated Signaling	7.03E-01	6.03E-02	1.134	GRB2,ITPR3,JUN,MAP2K5,PRKCA,PRKCB,RRAS2	
mTOR Signaling	7.03E-01	5.5E-02	0.707	EIF4A3,FKBP1A,PIK3CB,PPP2R1B,PRKCA,PRKCB,RHEB,RPS27L,RPS6KA5,RRAS2,VEGFA	
ATM Signaling	6.99E-01	6.25E-02	-0.447	CREB3L3,HP1BP3,JUN,NBN,PPP2R1B,SMC1A	
Bladder Cancer Signaling	6.99E-01	6.25E-02	NaN	E2F1,FGF11,RPS6KA5,RRAS2,THBS1,VEGFA	
GDNF Family Ligand-Receptor Interactions	6.99E-01	6.58E-02	2.000	GRB2,ITPR3,JUN,PIK3CB,RRAS2	
TGF-β Signaling	6.99E-01	6.25E-02	1.633	EP300,GRB2,JUN,RRAS2,RUNX3,SMURF1	
Macropinocytosis Signaling	6.99E-01	6.58E-02	1.342	PAK1,PIK3CB,PRKCA,PRKCB,RRAS2	
Opioid Signaling Pathway	6.95E-01	5.33E-02	0.832	CREB3L3,EP300,ITPR3,MAP2K5,PDK1,PPP3CB,PRKACB,PRKAR2B,PRKCA,PRKCB,RGS9,RPS6KA5,RRAS2	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	6.9E-01	5.98E-02	1.342	FZD7,GRB2,JAK1,JAK2,PIK3CB,RRAS2,WNT11	
Regulation of eIF4 and p70S6K Signaling	6.88E-01	5.66E-02	1.000	AGO1,AGO2,EIF2A,EIF4A3,GRB2,PIK3CB,PPP2R1B,RPS27L,RRAS2	
VEGF Signaling	6.84E-01	6.19E-02	1.633	GRB2,PIK3CB,PRKCA,PRKCB,RRAS2,VEGFA	
Role of MAPK Signaling in the Pathogenesis of Influenza	6.82E-01	6.49E-02	NaN	CXCL10,PLA2G12A,PLA2G2C,PRKCA,RRAS2	
HGF Signaling	6.78E-01	5.93E-02	1.890	GRB2,JUN,PAK1,PIK3CB,PRKCA,PRKCB,RRAS2	
NAD Salvage Pathway II	6.74E-01	9.52E-02	NaN	ACP6,NT5C3A	
Cysteine Biosynthesis III (mammalia)	6.74E-01	9.52E-02	NaN	MAT2B,PRMT8	
Pyrimidine Ribonucleotides Interconversion	6.72E-01	7.69E-02	NaN	CTPS1,NME6,PCK1	
PD-1, PD-L1 cancer immunotherapy pathway	6.72E-01	6.12E-02	-0.447	CD28,HLA-DPA1,JAK1,JAK2,PIK3CB,STAT5B	
Synaptic Long Term Depression	6.7E-01	5.49E-02	-0.632	GNAT2,ITPR3,PLA2G12A,PLA2G2C,PLCL2,PPP2R1B,PRKCA,PRKCB,PRKG1,RRAS2	
PI3K/AKT Signaling	6.7E-01	5.49E-02	1.414	CHUK,ELP1,GRB2,IL13RA1,JAK1,JAK2,PIK3CB,PPP2R1B,RHEB,RRAS2	
Corticotropin Releasing Hormone Signaling	6.66E-01	5.71E-02	0.447	CREB3L3,ITPR3,JUN,PRKACB,PRKAR2B,PRKCA,PRKCB,VEGFA	
Glioblastoma Multiforme Signaling	6.58E-01	5.56E-02	1.414	E2F1,FZD7,GRB2,ITPR3,NF2,PIK3CB,PLCL2,RRAS2,WNT11	
Tec Kinase Signaling	6.58E-01	5.56E-02	1.414	GNAT2,JAK1,JAK2,PAK1,PAK2,PIK3CB,PRKCA,PRKCB,STAT5B	
Ceramide Biosynthesis	6.54E-01	1.67E-01	NaN	KDSR	
Pentose Phosphate Pathway (Non-oxidative Branch)	6.54E-01	1.67E-01	NaN	TALDO1	
UDP-N-acetyl-D-glucosamine Biosynthesis II	6.54E-01	1.67E-01	NaN	UAP1	
Role of IL-17F in Allergic Inflammatory Airway Diseases	6.5E-01	7.5E-02	NaN	CREB3L3,CXCL10,RPS6KA5	
Endocannabinoid Cancer Inhibition Pathway	6.44E-01	5.63E-02	-1.414	CREB3L3,EIF2A,MAP2K5,PIK3CB,PRKACB,PRKAR2B,VEGFA,VIM	
ILK Signaling	6.42E-01	5.41E-02	1.000	CREB3L3,FLNB,FN1,JUN,MYL6B,PIK3CB,PPP2R1B,RPS6KA5,VEGFA,VIM	
RhoGDI Signaling	6.42E-01	5.41E-02	-1.667	ARHGEF15,ARPC2,ARPC5L,CD44,EP300,GNAT2,MYL6B,PAK1,PAK2,PRKCA	
Induction of Apoptosis by HIV1	6.36E-01	6.67E-02	2.000	APAF1,BIRC2,CHUK,ELP1	
Phospholipases	6.36E-01	6.67E-02	1.000	PLA1A,PLA2G12A,PLA2G2C,PLCL2	
Sumoylation Pathway	6.33E-01	5.94E-02	0.000	EP300,JUN,RFC2,SENP1,SUMO3,TDG	
Activation of IRF by Cytosolic Pattern Recognition Receptors	6.22E-01	6.56E-02	2.000	CHUK,ELP1,JUN,TRAF3	
EIF2 Signaling	6.22E-01	5.26E-02	1.633	AGO1,AGO2,EIF2A,EIF2AK1,EIF4A3,GRB2,PIK3CB,RPL26L1,RPS27L,RRAS2,VEGFA	
SPINK1 General Cancer Pathway	6.22E-01	6.56E-02	1.000	JAK1,JAK2,PIK3CB,RRAS2	
Virus Entry via Endocytic Pathways	6.2E-01	5.88E-02	NaN	DNM1,FLNB,PIK3CB,PRKCA,PRKCB,RRAS2	
Type I Diabetes Mellitus Signaling	6.2E-01	5.88E-02	1.000	APAF1,CD28,CHUK,ICA1,JAK1,JAK2	
FAK Signaling	6.2E-01	5.88E-02	NaN	GIT2,GRB2,PAK1,PAK2,PIK3CB,RRAS2	
Hepatic Fibrosis Signaling Pathway	6.18E-01	4.93E-02	1.698	CHUK,CREB3L3,FZD7,JAK1,JAK2,JUN,MAP2K5,MYL6B,PDK1,PIK3CB,PRKACB,PRKAR2B,PRKCA,PRKCB,RRAS2,SUCNR1,VEGFA,WNT11	
Tryptophan Degradation III (Eukaryotic)	6.16E-01	8.7E-02	NaN	HADHA,HADHB	
Role of NFAT in Cardiac Hypertrophy	6.14E-01	5.24E-02	1.508	EP300,GRB2,ITPR3,PIK3CB,PLCL2,PPP3CB,PRKACB,PRKAR2B,PRKCA,PRKCB,RRAS2	
PKCθ Signaling in T Lymphocytes	6.13E-01	5.52E-02	2.121	CD28,CHUK,GRB2,JUN,NFATC3,PIK3CB,PPP3CB,RRAS2	
Role of RIG1-like Receptors in Antiviral Innate Immunity	6.09E-01	7.14E-02	NaN	CHUK,EP300,TRAF3	
Antioxidant Action of Vitamin C	6.07E-01	5.83E-02	-0.816	CHUK,JAK2,PLA2G12A,PLA2G2C,PLCL2,STAT5B	
Huntington's Disease Signaling	5.97E-01	5.13E-02	1.414	APAF1,CREB3L3,DNM1,EP300,GOSR2,GRB2,JUN,PIK3CB,PRKCA,PRKCB,SGK1,UBD	
PAK Signaling	5.97E-01	5.77E-02	2.449	GRB2,MYL6B,PAK1,PAK2,PIK3CB,RRAS2	
Th17 Activation Pathway	5.97E-01	6.02E-02	-0.447	IL22,JAK1,JAK2,NFATC3,RORA	
Aspartate Degradation II	5.95E-01	1.43E-01	NaN	MDH1	
Relaxin Signaling	5.93E-01	5.44E-02	1.342	GNAT2,JUN,PDE4B,PDE4D,PIK3CB,PRKACB,PRKAR2B,VEGFA	
Wnt/β-catenin Signaling	5.9E-01	5.33E-02	1.414	BTRC,CD44,EP300,FZD7,JUN,PPP2R1B,SOX17,UBD,WNT11	
Apelin Pancreas Signaling Pathway	5.9E-01	6.98E-02	NaN	PIK3CB,PRKACB,PRKAR2B	
Tumoricidal Function of Hepatic Natural Killer Cells	5.88E-01	8.33E-02	NaN	APAF1,LYVE1	
Paxillin Signaling	5.85E-01	5.71E-02	2.449	GIT2,GRB2,PAK1,PAK2,PIK3CB,RRAS2	
HER-2 Signaling in Breast Cancer	5.83E-01	5.95E-02	NaN	GRB2,PIK3CB,PRKCA,PRKCB,RRAS2	
Superpathway of Inositol Phosphate Compounds	5.8E-01	5.21E-02	3.162	ACP6,FIG4,INPP5A,MTMR9,PI4KB,PIK3CB,PIP4K2A,PTPN23,SEC16A,STYXL1	
IL-17A Signaling in Airway Cells	5.73E-01	6.25E-02	1.000	CHUK,JAK1,JAK2,PIK3CB	
Remodeling of Epithelial Adherens Junctions	5.73E-01	6.25E-02	NaN	ARPC2,ARPC5L,CLIP1,DNM1	
NF-κB Signaling	5.72E-01	5.26E-02	3.000	BTRC,CHUK,EP300,IGF2R,PIK3CB,PRKACB,PRKCB,RRAS2,TRAF3	
White Adipose Tissue Browning Pathway	5.67E-01	5.47E-02	0.816	CREB3L3,LDHA,PRKACB,PRKAR2B,PRKG1,SLC16A1,VEGFA	
IL-17A Signaling in Gastric Cells	5.64E-01	8E-02	NaN	CXCL10,JUN	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	5.64E-01	8E-02	NaN	PI4KB,PIP4K2A	
Gluconeogenesis I	5.64E-01	8E-02	NaN	MDH1,PGK1	
CDK5 Signaling	5.62E-01	5.61E-02	1.633	LAMB1,LAMC1,PPP2R1B,PRKACB,PRKAR2B,RRAS2	
Cell Cycle: G1/S Checkpoint Regulation	5.59E-01	6.15E-02	NaN	BTRC,E2F1,GNL3,RBL2	
Pathogenesis of Multiple Sclerosis	5.47E-01	1.25E-01	NaN	CXCL10	
Salvage Pathways of Pyrimidine Deoxyribonucleotides	5.47E-01	1.25E-01	NaN	TK2	
Iron homeostasis signaling pathway	5.47E-01	5.38E-02	NaN	BTRC,CREB3L3,FXN,HBE1,JAK1,JAK2,STAT5B	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	5.41E-01	7.69E-02	NaN	UGT2B10,UGT3A1	
nNOS Signaling in Neurons	5.36E-01	6.52E-02	NaN	PPP3CB,PRKCA,PRKCB	
Actin Cytoskeleton Signaling	5.27E-01	4.98E-02	3.162	ARPC2,ARPC5L,DIAPH1,FGF11,FN1,GRB2,MYL6B,PAK1,PAK2,PIK3CB,RRAS2	
Neuroinflammation Signaling Pathway	5.27E-01	4.84E-02	0.277	BIRC2,CHUK,CREB3L3,CRP,CXCL10,ELP1,JAK1,JAK2,JUN,NFATC3,PIK3CB,PLA2G12A,PPP3CB,TRAF3	
Xenobiotic Metabolism General Signaling Pathway	5.27E-01	5.3E-02	1.134	EP300,MAP2K5,PIK3CB,PRKCA,PRKCB,RRAS2,UGT2B10	
Phospholipase C Signaling	5.24E-01	4.92E-02	2.714	ARHGEF15,CREB3L3,EP300,GRB2,ITPR3,MYL6B,NFATC3,PLA2G12A,PPP3CB,PRKCA,PRKCB,RRAS2	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	5.19E-01	5.41E-02	0.000	ITPR3,PLCL2,PRKACB,PRKAR2B,PRKCA,PRKCB	
Colorectal Cancer Metastasis Signaling	5.1E-01	4.88E-02	1.732	DCC,FZD7,GRB2,JAK1,JAK2,JUN,PIK3CB,PRKACB,PRKAR2B,RRAS2,VEGFA,WNT11	
OX40 Signaling Pathway	5.03E-01	6.25E-02	NaN	HLA-DPA1,JUN,TRAF3	
Citrulline Biosynthesis	5.03E-01	1.11E-01	NaN	GLS2	
Heme Biosynthesis II	5.03E-01	1.11E-01	NaN	HMBS	
NGF Signaling	4.99E-01	5.31E-02	1.633	CHUK,CREB3L3,GRB2,PIK3CB,RPS6KA5,RRAS2	
Role of p14/p19ARF in Tumor Suppression	4.96E-01	7.14E-02	NaN	E2F1,PIK3CB	
Thrombin Signaling	4.95E-01	4.93E-02	1.414	ARHGEF15,GNAT2,GRB2,ITPR3,MYL6B,PIK3CB,PLCL2,PRKCA,PRKCB,RRAS2	
IL-10 Signaling	4.92E-01	5.71E-02	NaN	CHUK,ELP1,JAK1,JUN	
Signaling by Rho Family GTPases	4.91E-01	4.82E-02	3.162	ARHGEF15,ARPC2,ARPC5L,CLIP1,GNAT2,JUN,MYL6B,PAK1,PAK2,PIK3CB,SEPTIN2,VIM	
Fc Epsilon RI Signaling	4.88E-01	5.26E-02	1.633	GRB2,PIK3CB,PLA2G12A,PRKCA,PRKCB,RRAS2	
Glioma Invasiveness Signaling	4.8E-01	5.63E-02	2.000	CD44,PIK3CB,PLAUR,RRAS2	
GP6 Signaling Pathway	4.79E-01	5.22E-02	0.816	COL4A3,LAMB1,LAMC1,PIK3CB,PRKCA,PRKCB	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	4.78E-01	5.38E-02	1.342	ARPC2,ARPC5L,PAK1,PRKCA,PRKCB	
Sonic Hedgehog Signaling	4.76E-01	6.9E-02	NaN	PRKACB,PRKAR2B	
Melanoma Signaling	4.74E-01	6E-02	NaN	E2F1,PIK3CB,RRAS2	
NRF2-mediated Oxidative Stress Response	4.67E-01	4.89E-02	1.890	ABCC2,DNAJC5B,EP300,JUN,MAP2K5,PIK3CB,PRKCA,PRKCB,RRAS2	
Salvage Pathways of Pyrimidine Ribonucleotides	4.67E-01	5.32E-02	2.236	NME6,PAK1,PAK2,PCK1,SGK1	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	4.67E-01	5.56E-02	-1.000	ITPR3,PLCL2,PRKACB,PRKAR2B	
Prostanoid Biosynthesis	4.66E-01	1E-01	NaN	TBXAS1	
Oleate Biosynthesis II (Animals)	4.66E-01	1E-01	NaN	CYB5A	
Calcium Transport I	4.66E-01	1E-01	NaN	ATP2B4	
NAD Phosphorylation and Dephosphorylation	4.66E-01	1E-01	NaN	ACP6	
Pentose Phosphate Pathway	4.66E-01	1E-01	NaN	TALDO1	
LXR/RXR Activation	4.61E-01	5.13E-02	1.342	ACACA,APOA4,APOB,APOL1,C4A/C4B,CYP7A1	
Cardiac β-adrenergic Signaling	4.56E-01	5E-02	-0.447	AKAP12,AKAP4,PDE4B,PDE4D,PPP2R1B,PRKACB,PRKAR2B	
Amyotrophic Lateral Sclerosis Signaling	4.47E-01	5.21E-02	2.236	APAF1,BIRC2,PAK1,PIK3CB,VEGFA	
Regulation of Actin-based Motility by Rho	4.47E-01	5.21E-02	2.236	ARPC2,ARPC5L,MYL6B,PAK1,PAK2	
SAPK/JNK Signaling	4.47E-01	5.21E-02	1.342	GRB2,JUN,NFATC3,PIK3CB,RRAS2	
Cardiac Hypertrophy Signaling	4.4E-01	4.7E-02	2.530	EP300,GNAT2,GRB2,JUN,MYL6B,PIK3CB,PLCL2,PPP3CB,PRKACB,PRKAR2B,RRAS2	
Sertoli Cell-Sertoli Cell Junction Signaling	4.39E-01	4.79E-02	NaN	CLDN17,EPB41,JUN,PRKACB,PRKAR2B,PRKG1,RRAS2,SPTAN1,SPTBN1	
Glycogen Degradation II	4.33E-01	9.09E-02	NaN	MTAP	
Transcriptional Regulatory Network in Embryonic Stem Cells	4.32E-01	5.66E-02	NaN	MEIS1,PAX6,SMARCAD1	
Apelin Cardiomyocyte Signaling Pathway	4.27E-01	5.1E-02	1.342	MYL6B,PIK3CB,PLCL2,PRKCA,PRKCB	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	4.26E-01	4.69E-02	NaN	BIRC2,CHUK,ELP1,FZD7,JUN,NFATC3,PIK3CB,PPP3CB,SMURF1,WNT11	
Reelin Signaling in Neurons	4.25E-01	4.96E-02	2.449	ARHGEF15,ARPC2,ARPC5L,MAP2K5,PDK1,PIK3CB	
Inhibition of ARE-Mediated mRNA Degradation Pathway	4.25E-01	4.96E-02	-0.816	AGO1,AGO2,PPP2R1B,PRKACB,PRKAR2B,TIA1	
Chemokine Signaling	4.23E-01	5.26E-02	1.000	JUN,PRKCA,PRKCB,RRAS2	
Thyroid Cancer Signaling	4.11E-01	5.19E-02	2.000	JUN,PDK1,PIK3CB,RRAS2	
Adrenomedullin signaling pathway	4.11E-01	4.69E-02	1.000	GRB2,ITPR3,MAP2K5,PIK3CB,PLCL2,PRKACB,PRKAR2B,PRKG1,RRAS2	
Cell Cycle Control of Chromosomal Replication	4.06E-01	5.45E-02	NaN	CDK11B,CDK12,CDK13	
DNA Methylation and Transcriptional Repression Signaling	4.05E-01	6.06E-02	NaN	CHD4,DNMT3B	
Guanosine Nucleotides Degradation III	4.03E-01	8.33E-02	NaN	NT5C3A	
UDP-N-acetyl-D-galactosamine Biosynthesis II	4.03E-01	8.33E-02	NaN	UAP1	
BER pathway	4.03E-01	8.33E-02	NaN	POLB	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	4.01E-01	5.13E-02	NaN	CD28,CHUK,IL22,TRAF3	
Actin Nucleation by ARP-WASP Complex	4.01E-01	5.13E-02	NaN	ARPC2,ARPC5L,GRB2,RRAS2	
BEX2 Signaling Pathway	4.01E-01	5.13E-02	0.000	JUN,mir-370,PPP2R1B,VEGFA	
Neuregulin Signaling	3.91E-01	4.9E-02	1.342	GRB2,PRKCA,PRKCB,RRAS2,STAT5B	
Superpathway of Methionine Degradation	3.89E-01	5.88E-02	NaN	MAT2B,PRMT8	
IL-8 Signaling	3.86E-01	4.59E-02	2.121	CHUK,ELP1,JUN,PAK2,PIK3CB,PRKCA,PRKCB,RRAS2,VEGFA	
Calcium Signaling	3.86E-01	4.59E-02	1.414	ATP2B4,CREB3L3,EP300,ITPR3,MYL6B,NFATC3,PPP3CB,PRKACB,PRKAR2B	
Retinoic acid Mediated Apoptosis Signaling	3.82E-01	5.26E-02	NaN	APAF1,PARP11,TNFRSF10C	
Androgen Biosynthesis	3.78E-01	7.69E-02	NaN	SRD5A3	
Acyl-CoA Hydrolysis	3.78E-01	7.69E-02	NaN	ACOT9	
Glycogen Degradation III	3.78E-01	7.69E-02	NaN	MTAP	
Urate Biosynthesis/Inosine 5'-phosphate Degradation	3.78E-01	7.69E-02	NaN	NT5C3A	
Bile Acid Biosynthesis, Neutral Pathway	3.78E-01	7.69E-02	NaN	CYP7A1	
Coagulation System	3.74E-01	5.71E-02	NaN	F13B,PLAUR	
IL-17A Signaling in Fibroblasts	3.74E-01	5.71E-02	NaN	CHUK,JUN	
G-Protein Coupled Receptor Signaling	3.7E-01	4.44E-02	NaN	CHUK,CREB3L3,ELP1,GRB2,PDE4B,PDE4D,PIK3CB,PRKACB,PRKAR2B,PRKCA,PRKCB,RRAS2	
Gαq Signaling	3.6E-01	4.58E-02	1.134	CHUK,ITPR3,NFATC3,PIK3CB,PPP3CB,PRKCA,PRKCB	
Gα12/13 Signaling	3.55E-01	4.62E-02	2.236	CHUK,ELP1,JUN,MYL6B,PIK3CB,RRAS2	
DNA Double-Strand Break Repair by Homologous Recombination	3.54E-01	7.14E-02	NaN	NBN	
Adenosine Nucleotides Degradation II	3.54E-01	7.14E-02	NaN	NT5C3A	
Endometrial Cancer Signaling	3.49E-01	5E-02	NaN	GRB2,PIK3CB,RRAS2	
PCP pathway	3.49E-01	5E-02	NaN	FZD7,JUN,WNT11	
Cell Cycle Regulation by BTG Family Proteins	3.46E-01	5.41E-02	NaN	E2F1,PPP2R1B	
HIPPO signaling	3.45E-01	4.76E-02	NaN	BTRC,CD44,NF2,PPP2R1B	
Docosahexaenoic Acid (DHA) Signaling	3.33E-01	5.26E-02	NaN	APAF1,PIK3CB	
Triacylglycerol Degradation	3.33E-01	5.26E-02	NaN	PLA1A,PNLIPRP3	
Superpathway of Citrulline Metabolism	3.32E-01	6.67E-02	NaN	GLS2	
Systemic Lupus Erythematosus Signaling	3.29E-01	4.37E-02	NaN	CD28,GRB2,JUN,NFATC3,PIK3CB,PRPF19,RRAS2,SNRNP27,SNRPF	
Eicosanoid Signaling	3.29E-01	4.84E-02	NaN	PLA2G12A,PLA2G2C,TBXAS1	
Allograft Rejection Signaling	3.21E-01	5.13E-02	NaN	CD28,HLA-DPA1	
STAT3 Pathway	3.21E-01	4.44E-02	0.447	IGF2R,IL13RA1,JAK2,PIAS3,RRAS2,VEGFA	
PTEN Signaling	3.21E-01	4.44E-02	-2.236	CHUK,ELP1,GRB2,IGF2R,PIK3CB,RRAS2	
Ceramide Signaling	3.19E-01	4.6E-02	1.000	JUN,PIK3CB,PPP2R1B,RRAS2	
Mitotic Roles of Polo-Like Kinase	3.19E-01	4.76E-02	NaN	ANAPC1,PPP2R1B,SMC1A	
