© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Aryl Hydrocarbon Receptor Signaling	6.58E-01	5.22E-02	NaN	ALDH3B1,GSTA1,GSTA2,GSTM2,GSTM3,HSP90AA1,TRIP11	
Acute Myeloid Leukemia Signaling	6.58E-01	5.68E-02	-1.342	KRAS,PIK3C2A,PIK3CA,PIK3R1,TCF4	
CD28 Signaling in T Helper Cells	6.56E-01	5.41E-02	-1.633	ITPR2,MAP3K1,PIK3C2A,PIK3CA,PIK3R1,ZAP70	
ErbB4 Signaling	6.54E-01	6.06E-02	-2.000	KRAS,PIK3C2A,PIK3CA,PIK3R1	
Phosphatidylcholine Biosynthesis I	6.38E-01	1.43E-01	NaN	CHKA	
Glycogen Biosynthesis II (from UDP-D-Glucose)	6.38E-01	1.43E-01	NaN	UGP2	
Sphingomyelin Metabolism	6.38E-01	1.43E-01	NaN	SGMS1	
Insulin Receptor Signaling	6.36E-01	5.15E-02	-1.890	KRAS,PIK3C2A,PIK3CA,PIK3R1,PPP1R12A,PTEN,RHOQ	
Gluconeogenesis I	6.35E-01	8E-02	NaN	ENO4,PGK2	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	6.33E-01	4.81E-02	-2.530	CREB3L3,KRAS,PIK3C2A,PIK3CA,PIK3R1,PPP2R5A,RDX,RHOJ,RHOQ,ROCK2	
Cardiac Hypertrophy Signaling (Enhanced)	6.29E-01	4.36E-02	-3.130	BMPR2,CACNA1C,CAMK2D,CXCR1,DLG1,GHR,IFNAR1,IGF1,IL5RA,IL6ST,ITGB3,ITPR2,KRAS,MAP3K1,MAP3K13,PDE4B,PIK3C2A,PIK3CA,PIK3R1,PTEN,ROCK2	
RhoGDI Signaling	6.23E-01	4.86E-02	1.890	ARHGAP5,ARHGEF17,GRIP1,ITGB3,PPP1R12A,RDX,RHOJ,RHOQ,ROCK2	
Sphingosine-1-phosphate Signaling	6.22E-01	5.26E-02	-2.236	ACER3,PIK3C2A,PIK3CA,PIK3R1,RHOJ,RHOQ	
Cardiac Hypertrophy Signaling	6.2E-01	4.7E-02	-2.111	CACNA1C,IGF1,KRAS,MAP3K1,MAP3K13,PIK3C2A,PIK3CA,PIK3R1,RHOJ,RHOQ,ROCK2	
T Cell Exhaustion Signaling Pathway	6.14E-01	4.94E-02	0.378	BMPR2,IFNAR1,KRAS,PIK3C2A,PIK3CA,PIK3R1,PPP2R5A,ZAP70	
Stearate Biosynthesis I (Animals)	5.92E-01	6.25E-02	NaN	BDH2,CYP4A22,ELOVL6	
Renin-Angiotensin Signaling	5.88E-01	5.13E-02	-1.633	ITPR2,KRAS,MAP3K1,PIK3C2A,PIK3CA,PIK3R1	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	5.88E-01	5.13E-02	-2.236	BMPR2,IL6ST,KRAS,PIK3C2A,PIK3CA,PIK3R1	
Sphingosine and Sphingosine-1-phosphate Metabolism	5.88E-01	1.25E-01	NaN	ACER3	
Phosphatidylethanolamine Biosynthesis II	5.88E-01	1.25E-01	NaN	CHKA	
Histidine Degradation III	5.88E-01	1.25E-01	NaN	AMDHD1	
Mineralocorticoid Biosynthesis	5.88E-01	1.25E-01	NaN	GSTA1	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	5.88E-01	4.56E-02	-2.887	BCL2L11,BLNK,IFNAR1,IL6ST,KRAS,PIK3C2A,PIK3CA,PIK3R1,RASGRP1,RASGRP3,TBK1,TLR8	
Insulin Secretion Signaling Pathway	5.83E-01	4.6E-02	-2.111	CACNA1C,CAMK2D,CREB3L3,DLAT,GHR,ITPR2,PIK3C2A,PIK3CA,PIK3R1,SLC2A2,SRP54	
Endocannabinoid Cancer Inhibition Pathway	5.78E-01	4.93E-02	0.378	CREB3L3,PIK3C2A,PIK3CA,PIK3R1,ROCK2,TCF4,VIM	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	5.75E-01	6.12E-02	NaN	AURKA,CDK7,KAT2B	
Assembly of RNA Polymerase II Complex	5.59E-01	6E-02	NaN	CDK7,POLR2K,TAF2	
Role of NFAT in Regulation of the Immune Response	5.54E-01	4.73E-02	-2.646	AKAP5,BLNK,ITPR2,KRAS,PIK3C2A,PIK3CA,PIK3R1,ZAP70	
Estrogen Receptor Signaling	5.51E-01	4.39E-02	-1.387	CACNA1C,CREB3L3,DLG4,HSP90AA1,IGF1,KRAS,MED21,MMP27,PIK3C2A,PIK3CA,PIK3R1,PPP1R12A,PTEN,ROCK2	
UVA-Induced MAPK Signaling	5.5E-01	5.15E-02	-2.236	KRAS,PIK3C2A,PIK3CA,PIK3R1,RPS6KA3	
VEGF Signaling	5.5E-01	5.15E-02	-2.236	KRAS,PIK3C2A,PIK3CA,PIK3R1,ROCK2	
Senescence Pathway	5.5E-01	4.46E-02	-2.309	BMPR2,CACNA1C,DLAT,ITPR2,KAT2B,KRAS,PIK3C2A,PIK3CA,PIK3R1,PPP2R5A,PTEN,TBK1	
Reelin Signaling in Neurons	5.48E-01	4.96E-02	-2.449	CAMK2D,FRK,GRIN2D,PIK3C2A,PIK3CA,PIK3R1	
RhoA Signaling	5.48E-01	4.96E-02	-0.816	ARHGAP5,IGF1,PPP1R12A,RDX,ROCK2,SEPTIN2	
Phospholipase C Signaling	5.48E-01	4.51E-02	-1.667	ARHGEF17,BLNK,CREB3L3,ITGB3,ITPR2,KRAS,PPP1R12A,RHOJ,RHOQ,RPS6KA3,ZAP70	
GNRH Signaling	5.47E-01	4.71E-02	-0.816	CACNA1C,CACNB4,CAMK2D,CREB3L3,ITPR2,KRAS,MAP3K1,MAP3K13	
Citrulline Biosynthesis	5.45E-01	1.11E-01	NaN	ARG1	
Glucocorticoid Biosynthesis	5.45E-01	1.11E-01	NaN	GSTA1	
GDP-glucose Biosynthesis	5.45E-01	1.11E-01	NaN	PGM3	
Antiproliferative Role of Somatostatin Receptor 2	5.44E-01	5.41E-02	-2.000	KRAS,PIK3C2A,PIK3CA,PIK3R1	
TNFR2 Signaling	5.42E-01	6.9E-02	NaN	MAP3K1,TBK1	
Colorectal Cancer Metastasis Signaling	5.36E-01	4.47E-02	-2.111	IL6ST,KRAS,MMP27,PIK3C2A,PIK3CA,PIK3R1,RHOJ,RHOQ,TCF4,TLR1,TLR8	
Actin Cytoskeleton Signaling	5.35E-01	4.52E-02	-1.667	DOCK1,IQGAP2,ITGB3,KRAS,PIK3C2A,PIK3CA,PIK3R1,PPP1R12A,RDX,ROCK2	
Acetone Degradation I (to Methylglyoxal)	5.21E-01	6.67E-02	NaN	CYP4A22,CYP4B1	
Chemokine Signaling	5.19E-01	5.26E-02	-1.000	CAMK2D,KRAS,PPP1R12A,ROCK2	
Lymphotoxin β Receptor Signaling	5.13E-01	5.66E-02	NaN	PIK3C2A,PIK3CA,PIK3R1	
Autophagy	5.13E-01	5.66E-02	NaN	ATG16L1,CTSE,MAP1LC3B	
14-3-3-mediated Signaling	5.11E-01	4.8E-02	-1.342	KRAS,PIK3C2A,PIK3CA,PIK3R1,TUBA3E,VIM	
P2Y Purigenic Receptor Signaling Pathway	5.11E-01	4.8E-02	-1.342	CREB3L3,ITGB3,KRAS,PIK3C2A,PIK3CA,PIK3R1	
3-phosphoinositide Degradation	5.09E-01	4.67E-02	-2.646	INPP4A,NUDT9,PPP1R12A,PPP2R5A,PTEN,PTPN2,UBLCP1	
mTOR Signaling	5.07E-01	4.5E-02	-2.333	KRAS,PIK3C2A,PIK3CA,PIK3R1,PPP2R5A,RHOJ,RHOQ,RICTOR,RPS6KA3	
Glucose and Glucose-1-phosphate Degradation	5.07E-01	1E-01	NaN	PGM3	
NER Pathway	5.07E-01	4.95E-02	-0.447	CDK7,COPS2,ERCC8,POLK,POLR2K	
D-myo-inositol-5-phosphate Metabolism	5E-01	4.64E-02	-2.646	NUDT9,PIP4K2A,PPP1R12A,PPP2R5A,PTEN,PTPN2,UBLCP1	
Role of IL-17A in Arthritis	4.99E-01	5.56E-02	NaN	PIK3C2A,PIK3CA,PIK3R1	
Chronic Myeloid Leukemia Signaling	4.98E-01	4.9E-02	NaN	KRAS,PIK3C2A,PIK3CA,PIK3R1,SIN3A	
Renal Cell Carcinoma Signaling	4.95E-01	5.13E-02	-2.000	KRAS,PIK3C2A,PIK3CA,PIK3R1	
BEX2 Signaling Pathway	4.95E-01	5.13E-02	NaN	PPP2R5A,PTEN,SWAP70,TCF4	
IL-3 Signaling	4.84E-01	5.06E-02	-2.000	KRAS,PIK3C2A,PIK3CA,PIK3R1	
White Adipose Tissue Browning Pathway	4.84E-01	4.69E-02	0.447	ANGPT2,CACNA1C,CACNB4,CREB3L3,LDHB,SLC16A1	
PAK Signaling	4.78E-01	4.81E-02	-2.000	ITGB3,KRAS,PIK3C2A,PIK3CA,PIK3R1	
IL-17 Signaling	4.74E-01	5E-02	NaN	KRAS,PIK3C2A,PIK3CA,PIK3R1	
Assembly of RNA Polymerase I Complex	4.72E-01	9.09E-02	NaN	POLR1A	
Glycogen Degradation II	4.72E-01	9.09E-02	NaN	PGM3	
Purine Nucleotides De Novo Biosynthesis II	4.72E-01	9.09E-02	NaN	PAICS	
Glutamate Receptor Signaling	4.72E-01	5.36E-02	NaN	DLG4,GRIN2D,GRIP1	
Gα12/13 Signaling	4.67E-01	4.62E-02	-1.633	KRAS,MAP3K1,PIK3C2A,PIK3CA,PIK3R1,ROCK2	
Circadian Rhythm Signaling	4.66E-01	6.06E-02	NaN	CREB3L3,GRIN2D	
IL-4 Signaling	4.62E-01	4.94E-02	NaN	KRAS,PIK3C2A,PIK3CA,PIK3R1	
VEGF Family Ligand-Receptor Interactions	4.52E-01	4.88E-02	-2.000	KRAS,PIK3C2A,PIK3CA,PIK3R1	
Breast Cancer Regulation by Stathmin1	4.51E-01	4.01E-02	-1.460	ADGRG3,ADGRL4,ARHGEF17,AURKA,CAMK2D,CREB3L3,CXCR1,CYSLTR2,GPR22,GPR63,GPR89A/GPR89B,HTR2B,IGF1,KRAS,mir-101,PIK3C2A,PIK3CA,PIK3R1,PPP1R12A,PPP2R5A,RPS6KA3,TUBA3E,VN1R4	
Molecular Mechanisms of Cancer	4.44E-01	4.09E-02	NaN	ARHGEF17,AURKA,BCL2L11,BMPR2,CAMK2D,CDK7,ITGB3,KRAS,PIK3C2A,PIK3CA,PIK3R1,RASGRP1,RHOJ,RHOQ,SIN3A,TCF4	
Hepatic Fibrosis Signaling Pathway	4.44E-01	4.11E-02	-2.324	BMPR2,CACNA1C,CCDC88A,CREB3L3,ITGB3,KRAS,PIK3C2A,PIK3CA,PIK3R1,PTEN,RHOJ,RHOQ,ROCK2,TCF4,TRPM7	
LPS-stimulated MAPK Signaling	4.42E-01	4.82E-02	-2.000	KRAS,PIK3C2A,PIK3CA,PIK3R1	
Assembly of RNA Polymerase III Complex	4.42E-01	8.33E-02	NaN	BDP1	
UDP-N-acetyl-D-galactosamine Biosynthesis II	4.42E-01	8.33E-02	NaN	PGM3	
Pancreatic Adenocarcinoma Signaling	4.41E-01	4.63E-02	-2.000	KRAS,PIK3C2A,PIK3CA,PIK3R1,SIN3A	
AMPK Signaling	4.34E-01	4.27E-02	-0.333	CREB3L3,KAT2B,PFKFB1,PIK3C2A,PIK3CA,PIK3R1,PPM1B,PPP2R5A,RAB2A	
Neuroinflammation Signaling Pathway	4.33E-01	4.15E-02	-1.897	BMPR2,CREB3L3,GABRR1,GABRR3,GRIN2D,HMGB1,PIK3C2A,PIK3CA,PIK3R1,TBK1,TLR1,TLR8	
Sperm Motility	4.28E-01	4.25E-02	-2.000	CNGA1,FRK,ITPR2,LMTK2,PDE4B,PLAAT1,SLC12A2,TWF1,ZAP70	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	4.2E-01	4.41E-02	-2.449	NUDT9,PPP1R12A,PPP2R5A,PTEN,PTPN2,UBLCP1	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	4.2E-01	4.41E-02	-2.449	NUDT9,PPP1R12A,PPP2R5A,PTEN,PTPN2,UBLCP1	
CREB Signaling in Neurons	4.18E-01	3.95E-02	-2.558	ADGRG3,ADGRL4,BMPR2,CACNA1C,CACNB4,CAMK2D,CREB3L3,CXCR1,CYSLTR2,GHR,GPR22,GPR63,GPR89A/GPR89B,GRIN2D,HTR2B,IGF1,ITPR2,KRAS,PIK3C2A,PIK3CA,PIK3R1,POLR2K,VN1R4	
Tec Kinase Signaling	4.18E-01	4.32E-02	-2.449	FRK,ITGB3,PIK3C2A,PIK3CA,PIK3R1,RHOJ,RHOQ	
Interferon Signaling	4.18E-01	5.56E-02	NaN	IFNAR1,PTPN2	
Sertoli Cell-Sertoli Cell Junction Signaling	4.17E-01	4.26E-02	NaN	DLG1,ITGB3,KRAS,MAP3K1,MAP3K13,PTEN,TJAP1,TUBA3E	
Androgen Biosynthesis	4.16E-01	7.69E-02	NaN	GSTA1	
Glycogen Degradation III	4.16E-01	7.69E-02	NaN	PGM3	
Cholesterol Biosynthesis I	4.16E-01	7.69E-02	NaN	SC5D	
Bile Acid Biosynthesis, Neutral Pathway	4.16E-01	7.69E-02	NaN	CYP7A1	
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	4.16E-01	7.69E-02	NaN	SC5D	
Cholesterol Biosynthesis III (via Desmosterol)	4.16E-01	7.69E-02	NaN	SC5D	
Pregnenolone Biosynthesis	4.16E-01	7.69E-02	NaN	CYP4A22	
Protein Ubiquitination Pathway	4.11E-01	4.12E-02	NaN	DNAJC21,DNAJC28,HSCB,HSP90AA1,HSPA4L,NEDD4L,USO1,USP12,USP16,USP47,USP9Y	
Leukocyte Extravasation Signaling	4.1E-01	4.23E-02	-2.121	ARHGAP5,MMP27,PIK3C2A,PIK3CA,PIK3R1,RASGRP1,RDX,ROCK2	
Cardiac β-adrenergic Signaling	3.91E-01	4.29E-02	1.000	AKAP12,AKAP5,CACNA1C,PDE4B,PPP1R12A,PPP2R5A	
Colanic Acid Building Blocks Biosynthesis	3.9E-01	7.14E-02	NaN	UGP2	
Inhibition of Matrix Metalloproteases	3.89E-01	5.26E-02	NaN	MMP27,THBS2	
fMLP Signaling in Neutrophils	3.84E-01	4.35E-02	-2.236	ITPR2,KRAS,PIK3C2A,PIK3CA,PIK3R1	
Endocannabinoid Developing Neuron Pathway	3.84E-01	4.35E-02	-1.342	CREB3L3,KRAS,PIK3C2A,PIK3CA,PIK3R1	
CD40 Signaling	3.8E-01	4.69E-02	NaN	PIK3C2A,PIK3CA,PIK3R1	
Cholecystokinin/Gastrin-mediated Signaling	3.77E-01	4.31E-02	-2.236	ITPR2,KRAS,RHOJ,RHOQ,ROCK2	
Primary Immunodeficiency Signaling	3.77E-01	5.13E-02	NaN	BLNK,ZAP70	
Estrogen Biosynthesis	3.77E-01	5.13E-02	NaN	CYP4B1,HSD17B13	
Pyridoxal 5'-phosphate Salvage Pathway	3.7E-01	4.62E-02	NaN	CDK7,GRK4,PRKX	
Cell Cycle: G1/S Checkpoint Regulation	3.7E-01	4.62E-02	NaN	GNL3,RPL5,SIN3A	
Superpathway of Citrulline Metabolism	3.69E-01	6.67E-02	NaN	ARG1	
Oxidative Ethanol Degradation III	3.69E-01	6.67E-02	NaN	ALDH3B1	
Protein Kinase A Signaling	3.62E-01	3.91E-02	0.905	AKAP12,AKAP5,CAMK2D,CNGA1,CREB3L3,ITPR2,MAP3K1,PDE4B,PPP1R12A,PTEN,PTPN2,PTPRG,ROCK2,TCF4,TIMM50	
ErbB Signaling	3.53E-01	4.3E-02	-2.000	KRAS,PIK3C2A,PIK3CA,PIK3R1	
Glutaryl-CoA Degradation	3.48E-01	6.25E-02	NaN	HADHB	
Isoleucine Degradation I	3.48E-01	6.25E-02	NaN	HADHB	
Putrescine Degradation III	3.48E-01	6.25E-02	NaN	ALDH3B1	
Fatty Acid α-oxidation	3.48E-01	6.25E-02	NaN	ALDH3B1	
Regulation of Actin-based Motility by Rho	3.29E-01	4.17E-02	NaN	ITGB3,PPP1R12A,RHOJ,RHOQ	
ATM Signaling	3.29E-01	4.17E-02	-1.000	CREB3L3,PPP2R5A,SMC3,ZEB1	
Oncostatin M Signaling	3.28E-01	4.65E-02	NaN	IL6ST,KRAS	
Tryptophan Degradation X (Mammalian, via Tryptamine)	3.28E-01	5.88E-02	NaN	ALDH3B1	
IL-7 Signaling Pathway	3.23E-01	4.29E-02	NaN	PIK3C2A,PIK3CA,PIK3R1	
eNOS Signaling	3.21E-01	3.97E-02	NaN	CNGA1,HSP90AA1,ITPR2,PIK3C2A,PIK3CA,PIK3R1	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	3.17E-01	4.55E-02	NaN	PHC1,TASOR	
IL-6 Signaling	3.15E-01	4E-02	-2.236	IL6ST,KRAS,PIK3C2A,PIK3CA,PIK3R1	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	3.11E-01	5.56E-02	NaN	PTEN	
FAT10 Signaling Pathway	3.11E-01	5.56E-02	NaN	MAP1LC3B	
Leptin Signaling in Obesity	3.06E-01	4.17E-02	NaN	PIK3C2A,PIK3CA,PIK3R1	
Regulation of Cellular Mechanics by Calpain Protease	3.06E-01	4.17E-02	NaN	CNGA1,ITGB3,KRAS	
Hypoxia Signaling in the Cardiovascular System	3.06E-01	4.17E-02	NaN	CREB3L3,HSP90AA1,PTEN	
Natural Killer Cell Signaling	3E-01	3.85E-02	-1.890	KRAS,MAP3K1,MAP3K13,PIK3C2A,PIK3CA,PIK3R1,ZAP70	
Synaptic Long Term Depression	3E-01	3.85E-02	-0.816	CACNA1C,CACNB4,IGF1,ITPR2,KRAS,PLAAT1,PPP2R5A	
p70S6K Signaling	2.97E-01	3.91E-02	-1.342	KRAS,PIK3C2A,PIK3CA,PIK3R1,PPP2R5A	
nNOS Signaling in Neurons	2.96E-01	4.35E-02	NaN	DLG4,GRIN2D	
FAT10 Cancer Signaling Pathway	2.96E-01	4.35E-02	NaN	BMPR2,TCF4	
Cardiomyocyte Differentiation via BMP Receptors	2.94E-01	5.26E-02	NaN	BMPR2	
Valine Degradation I	2.94E-01	5.26E-02	NaN	HADHB	
Ethanol Degradation IV	2.94E-01	5.26E-02	NaN	ALDH3B1	
IL-12 Signaling and Production in Macrophages	2.85E-01	3.85E-02	NaN	LYZ,PIK3C2A,PIK3CA,PIK3R1,PON1	
Cdc42 Signaling	2.85E-01	3.85E-02	-1.000	CDC42BPA,FNBP1L,IQGAP2,ITGB3,PPP1R12A	
Toll-like Receptor Signaling	2.83E-01	4E-02	NaN	MAP3K1,TLR1,TLR8	
Dopamine-DARPP32 Feedback in cAMP Signaling	2.82E-01	3.8E-02	0.000	CACNA1C,CREB3L3,GRIN2D,ITPR2,PPP1R12A,PPP2R5A	
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	2.79E-01	5E-02	NaN	IFNAR1	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	2.79E-01	5E-02	NaN	RRM2B	
Inflammasome pathway	2.79E-01	5E-02	NaN	NLRP1	
Regulation of eIF4 and p70S6K Signaling	2.77E-01	3.77E-02	-1.342	ITGB3,KRAS,PIK3C2A,PIK3CA,PIK3R1,PPP2R5A	
G-Protein Coupled Receptor Signaling	2.76E-01	3.7E-02	NaN	CAMK2D,CREB3L3,GRK4,HTR2B,KRAS,PDE4B,PIK3C2A,PIK3CA,PIK3R1,RASGRP1	
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	2.76E-01	3.74E-02	-1.134	KRAS,MAP3K1,PIK3C2A,PIK3CA,PIK3R1,VIM,ZEB1	
Human Embryonic Stem Cell Pluripotency	2.73E-01	3.79E-02	NaN	BMPR2,PIK3C2A,PIK3CA,PIK3R1,TCF4	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.71E-01	3.68E-02	NaN	CAMK2D,CREB3L3,IL6ST,KRAS,PIK3C2A,PIK3CA,PIK3R1,ROCK2,TCF4,TLR1,TLR8	
Regulation of the Epithelial-Mesenchymal Transition Pathway	2.62E-01	3.68E-02	NaN	KRAS,PIK3C2A,PIK3CA,PIK3R1,PYGO2,TCF4,ZEB1	
Gap Junction Signaling	2.58E-01	3.66E-02	NaN	HTR2B,ITPR2,KRAS,PIK3C2A,PIK3CA,PIK3R1,TUBA3E	
CDK5 Signaling	2.56E-01	3.74E-02	0.000	KRAS,LAMB1,PPP1R12A,PPP2R5A	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	2.52E-01	4.55E-02	NaN	DEFB1	
Dopamine Degradation	2.52E-01	4.55E-02	NaN	ALDH3B1	
Cyclins and Cell Cycle Regulation	2.48E-01	3.75E-02	NaN	CDK7,PPP2R5A,SIN3A	
CD27 Signaling in Lymphocytes	2.43E-01	3.85E-02	NaN	MAP3K1,MAP3K13	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	2.4E-01	4.35E-02	NaN	PTEN	
Apelin Cardiac Fibroblast Signaling Pathway	2.4E-01	4.35E-02	NaN	ANGPT2	
Tumoricidal Function of Hepatic Natural Killer Cells	2.28E-01	4.17E-02	NaN	LYVE1	
Bupropion Degradation	2.28E-01	4.17E-02	NaN	CYP4B1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	2.17E-01	4E-02	NaN	IL6ST	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	2.17E-01	4E-02	NaN	PIP4K2A	
Axonal Guidance Signaling	-0E00	2.95E-02	NaN	ADAM18,ADAMTS1,ADAMTS2,DOCK1,IGF1,ITGB3,KRAS,MMP27,PIK3C2A,PIK3CA,PIK3R1,ROCK2,SEMA3A,TUBA3E	
Fc Epsilon RI Signaling	-0E00	3.51E-02	-2.000	KRAS,PIK3C2A,PIK3CA,PIK3R1	
Huntington's Disease Signaling	-0E00	3.42E-02	-2.000	CREB3L3,DLG4,IGF1,PIK3C2A,PIK3CA,PIK3R1,POLR2K,SIN3A	
PPARα/RXRα Activation	-0E00	2.23E-02	2.000	BMPR2,GHR,HSP90AA1,KRAS	
Hepatic Cholestasis	-0E00	2.78E-02	NaN	ABCB11,ATP8B1,CYP7A1,SLCO1B1,SLCO1B3	
LXR/RXR Activation	-0E00	3.42E-02	-1.000	C9,CYP7A1,LYZ,PON1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	-0E00	2.21E-02	NaN	COL27A1,COL6A1,IFNAR1,IGF1	
VDR/RXR Activation	-0E00	2.63E-02	NaN	IGFBP1,MXD1	
Tight Junction Signaling	-0E00	1.2E-02	NaN	PPP2R5A,PTEN	
Role of BRCA1 in DNA Damage Response	-0E00	1.25E-02	NaN	FANCA	
Erythropoietin Signaling	-0E00	3.07E-02	-2.236	ITPR2,KRAS,PIK3C2A,PIK3CA,PIK3R1	
α-Adrenergic Signaling	-0E00	2.13E-02	NaN	ITPR2,KRAS	
Activation of IRF by Cytosolic Pattern Recognition Receptors	-0E00	3.28E-02	NaN	IFNAR1,TBK1	
Caveolar-mediated Endocytosis Signaling	-0E00	1.41E-02	NaN	ITGB3	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	-0E00	3.23E-02	NaN	DOCK1,PIK3R1,PTEN	
Role of RIG1-like Receptors in Antiviral Innate Immunity	-0E00	2.38E-02	NaN	TBK1	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0E00	3.47E-02	-2.000	PIK3C2A,PIK3CA,PIK3R1,TLR1,TLR8	
Role of PKR in Interferon Induction and Antiviral Response	-0E00	3.48E-02	0.000	HMGB1,HSP90AA1,IFNAR1,NPM1	
TREM1 Signaling	-0E00	2.86E-02	NaN	TLR1,TLR8	
CCR5 Signaling in Macrophages	-0E00	2.33E-02	NaN	CACNA1C,CACNB4	
Calcium-induced T Lymphocyte Apoptosis	-0E00	3.64E-02	NaN	ITPR2,ZAP70	
B Cell Activating Factor Signaling	-0E00	2.44E-02	NaN	MAP3K1	
IL-15 Production	-0E00	3.39E-02	-2.000	FRK,LMTK2,TWF1,ZAP70	
T Helper Cell Differentiation	-0E00	1.56E-02	NaN	IL6ST	
Dendritic Cell Maturation	-0E00	3.07E-02	-1.342	CREB3L3,IFNAR1,PIK3C2A,PIK3CA,PIK3R1	
Melatonin Signaling	-0E00	1.43E-02	NaN	CAMK2D	
Cellular Effects of Sildenafil (Viagra)	-0E00	3.17E-02	NaN	CACNA1C,ITPR2,PDE4B,PPP1R12A	
Endothelin-1 Signaling	-0E00	3.3E-02	-2.236	ITPR2,KRAS,PIK3C2A,PIK3CA,PIK3R1,PLAAT1	
Relaxin Signaling	-0E00	2.72E-02	NaN	PDE4B,PIK3C2A,PIK3CA,PIK3R1	
Factors Promoting Cardiogenesis in Vertebrates	-0E00	3.45E-02	-0.447	BMPR2,CAMK2D,CREB3L3,ROCK2,TCF4	
Agrin Interactions at Neuromuscular Junction	-0E00	2.94E-02	NaN	KRAS,LAMB1	
Cell Cycle Regulation by BTG Family Proteins	-0E00	2.7E-02	NaN	PPP2R5A	
Corticotropin Releasing Hormone Signaling	-0E00	2.86E-02	NaN	CACNA1C,CACNB4,CREB3L3,ITPR2	
Role of CHK Proteins in Cell Cycle Checkpoint Control	-0E00	1.75E-02	NaN	PPP2R5A	
DNA Methylation and Transcriptional Repression Signaling	-0E00	3.03E-02	NaN	SIN3A	
Type I Diabetes Mellitus Signaling	-0E00	2.94E-02	NaN	SOCS4,SOCS5,SOCS6	
Basal Cell Carcinoma Signaling	-0E00	1.43E-02	NaN	TCF4	
Autoimmune Thyroid Disease Signaling	-0E00	2.86E-02	NaN	CGA	
Bladder Cancer Signaling	-0E00	3.12E-02	NaN	KRAS,MMP27,SIN3A	
Myc Mediated Apoptosis Signaling	-0E00	2E-02	NaN	BCL2L11	
G Beta Gamma Signaling	-0E00	2.46E-02	NaN	CACNA1C,CACNB4,KRAS	
Communication between Innate and Adaptive Immune Cells	-0E00	2.67E-02	NaN	TLR1,TLR8	
Crosstalk between Dendritic Cells and Natural Killer Cells	-0E00	1.27E-02	NaN	CAMK2D	
Systemic Lupus Erythematosus Signaling	-0E00	3.4E-02	NaN	C9,KRAS,PIK3C2A,PIK3CA,PIK3R1,PRPF18,RNPC3	
EIF2 Signaling	-0E00	2.87E-02	-0.816	KRAS,PIK3C2A,PIK3CA,PIK3R1,RPL22L1,RPL5	
April Mediated Signaling	-0E00	2.5E-02	NaN	MAP3K1	
Retinoic acid Mediated Apoptosis Signaling	-0E00	1.75E-02	NaN	IFNAR1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	-0E00	3.29E-02	NaN	BMPR2,IGF1,ITGB3,PIK3C2A,PIK3CA,PIK3R1,TCF4	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	2.56E-02	NaN	TLR1,TLR8	
Atherosclerosis Signaling	-0E00	2.48E-02	NaN	LYZ,PLAAT1,PON1	
IL-1 Signaling	-0E00	1.09E-02	NaN	MAP3K1	
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00	1.83E-02	NaN	PRSS27,TAC1	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	3.45E-02	NaN	KRAS,MAP3K1,ZAP70	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00	2.74E-02	NaN	IFNAR1,TCF4	
Nur77 Signaling in T Lymphocytes	-0E00	3.33E-02	NaN	RPS6KA3,SIN3A	
TNFR1 Signaling	-0E00	2.08E-02	NaN	MAP3K1	
Role of MAPK Signaling in the Pathogenesis of Influenza	-0E00	2.6E-02	NaN	KRAS,PLAAT1	
Cell Cycle Control of Chromosomal Replication	-0E00	1.82E-02	NaN	CDK7	
